c,d
c11,d16
c23,d6
c29,d26
c12,d15
c31,d18
c1,d12
c22,d21
c13,d26
c10,d11
c5,d9
c1,d6
c29,d23
c4,d5
c1,d26
c7,d7
c25,d24
c28,d16
c6,d10
c18,d27
c8,d5
c1,d18
c21,d27
c27,d27
c26,d19
c29,d5
c31,d13
c17,d6
c23,d5
c23,d1
c25,d2
c5,d14
c0,d15
c7,d0
c2,d31
c19,d17
c21,d1
c19,d21
c21,d7
c21,d17
c12,d9
c20,d27
c17,d27
c20,d15
c3,d10
c14,d13
c2,d24
c31,d25
c7,d2
c29,d3
c19,d26
c17,d7
c20,d16
c22,d20
c19,d29
c0,d26
c7,d17
c13,d17
c29,d13
c31,d29
c2,d12
c12,d13
c10,d30
c3,d30
c17,d24
c30,d4
c30,d21
c3,d5
c30,d22
c14,d11
c23,d13
c18,d12
c3,d18
c28,d28
c10,d12
c17,d3
c3,d23
c26,d12
c24,d11
c15,d20
c28,d3
c21,d20
c9,d2
c23,d25
c21,d29
c19,d2
c9,d7
c13,d13
c30,d12
c4,d20
c14,d2
c24,d5
c24,d21
c16,d12
c24,d14
c26,d20
c19,d16
c17,d8
c9,d12
c8,d27
c2,d30
c30,d19
c14,d18
c20,d8
c11,d23
c10,d25
c15,d9
c9,d27
c8,d1
c18,d11
c16,d31
c28,d5
c3,d9
c14,d21
c28,d27
c26,d23
c9,d23
c27,d1
c28,d8
c6,d2
c9,d25
c29,d15
c9,d10
c20,d1
c8,d30
c31,d16
c3,d28
c20,d12
c12,d2
c10,d22
c25,d17
c21,d8
c0,d25
c30,d13
c17,d31
c15,d22
c24,d16
c31,d7
c5,d23
c11,d13
c31,d27
c21,d4
c10,d31
c18,d21
c18,d25
c7,d28
c25,d12
c12,d7
c8,d21
c13,d3
c24,d10
c0,d2
c14,d16
c26,d2
c1,d0
c17,d17
c26,d26
c23,d2
c14,d28
c4,d2
c15,d6
c4,d13
c28,d14
c26,d6
c13,d7
c14,d15
c24,d20
c20,d24
c1,d14
c24,d27
c22,d19
c2,d21
c20,d21
c13,d10
c11,d1
c12,d23
c10,d2
c1,d21
c25,d11
c21,d2
c23,d14
c6,d7
c26,d9
c0,d11
c26,d5
c8,d6
c5,d12
c31,d14
c5,d11
c16,d3
c1,d1
c14,d31
c19,d11
c17,d10
c26,d15
c6,d11
c30,d16
c18,d6
c9,d17
c28,d7
c30,d17
c14,d30
c17,d19
c18,d3
c13,d14
c20,d10
c25,d20
c10,d5
c15,d11
c28,d20
c29,d16
c13,d20
c5,d30
c14,d3
c17,d4
c15,d13
c19,d30
c16,d21
c4,d28
c7,d19
c15,d1
c3,d27
c26,d27
c15,d29
c6,d19
c18,d28
c10,d0
c6,d29
c3,d21
c18,d23
c9,d0
c3,d2
c24,d30
c9,d20
c10,d27
c26,d1
c3,d3
c31,d8
c23,d7
c20,d0
c18,d15
c31,d5
c19,d4
c9,d24
c11,d21
c28,d29
c14,d5
c31,d4
c23,d11
c8,d14
c25,d13
c24,d3
c8,d26
c2,d6
c2,d5
c17,d28
c19,d28
c13,d11
c7,d29
c3,d1
c23,d8
c12,d3
c7,d27
c5,d26
c6,d25
c12,d22
c26,d29
c14,d10
c27,d8
c17,d15
c27,d3
c25,d23
c9,d19
c11,d2
c5,d13
c0,d31
c30,d1
c13,d23
c25,d9
c6,d27
c6,d8
c30,d24
c9,d11
c1,d22
c24,d25
c15,d27
c7,d23
c3,d11
c12,d0
c27,d22
c6,d23
c13,d18
c12,d10
c10,d29
c5,d8
c21,d25
c27,d17
c2,d11
c6,d15
c3,d4
c12,d16
c22,d5
c26,d31
c0,d27
c3,d26
c22,d7
c19,d23
c21,d26
c13,d15
c7,d13
c1,d20
c24,d28
c14,d22
c30,d20
c7,d24
c16,d6
c8,d23
c30,d7
c21,d30
c13,d8
c3,d17
c27,d2
c10,d24
c15,d23
c0,d7
c5,d18
c11,d28
c29,d8
c17,d2
c8,d17
c15,d8
c16,d20
c25,d25
c3,d24
c29,d7
c16,d18
c30,d15
c2,d4
c28,d18
c17,d16
c18,d31
c10,d13
c3,d16
c30,d14
c27,d0
c15,d2
c18,d24
c20,d7
c9,d13
c1,d13
c11,d27
c25,d4
c7,d20
c10,d18
c21,d19
c5,d7
c18,d7
c25,d3
c4,d23
c27,d21
c2,d18
c12,d19
c25,d30
c23,d28
c10,d3
c24,d31
c27,d30
c6,d9
c22,d12
c29,d25
c31,d15
c13,d24
c17,d29
c6,d6
c14,d27
c25,d31
c17,d12
c10,d28
c5,d1
c0,d20
c2,d13
c19,d5
c30,d3
c7,d14
c31,d11
c15,d25
c25,d6
c1,d29
c16,d22
c20,d13
c21,d28
c24,d8
c22,d29
c12,d4
c15,d14
c6,d30
c19,d0
c3,d19
c2,d19
c5,d10
c15,d5
c23,d29
c26,d8
c18,d17
c4,d29
c23,d27
c16,d26
c26,d3
c15,d18
c21,d31
c27,d11
c1,d27
c17,d22
c31,d17
c21,d15
c22,d17
c2,d27
c19,d13
c13,d1
c30,d2
c23,d30
c10,d16
c8,d25
c16,d0
c15,d17
c4,d21
c11,d7
c24,d26
c26,d0
c0,d18
c14,d6
c12,d29
c27,d28
c22,d30
c4,d1
c24,d13
c25,d10
c24,d24
c30,d0
c3,d22
c30,d31
c24,d12
c19,d15
c0,d19
c28,d4
c4,d0
c9,d1
c0,d14
c24,d4
c28,d30
c26,d30
c17,d0
c27,d5
c27,d13
c25,d0
c12,d30
c13,d9
c25,d19
c22,d22
c22,d23
c12,d18
c1,d25
c3,d15
c9,d31
c4,d24
c11,d0
c27,d6
c0,d4
c2,d16
c9,d15
c4,d3
c2,d20
c5,d25
c0,d10
c0,d21
c28,d21
c4,d30
c11,d24
c22,d4
c3,d29
c29,d22
c24,d22
c13,d5
c2,d7
c23,d17
c30,d6
c19,d7
c23,d22
c4,d17
c18,d14
c21,d10
c4,d4
c26,d4
c12,d11
c18,d1
c19,d1
c3,d14
c7,d10
c6,d4
c13,d31
