a,b
a70,b61
a33,b62
a51,b43
a70,b11
a61,b28
a51,b6
a27,b17
a49,b67
a66,b35
a7,b30
a1,b60
a47,b57
a31,b53
a20,b53
a20,b41
a18,b33
a66,b16
a34,b66
a68,b6
a0,b26
a19,b16
a10,b45
a34,b67
a12,b61
a59,b10
a69,b64
a38,b2
a24,b53
a24,b11
a56,b26
a4,b69
a52,b67
a63,b20
a39,b51
a59,b8
a46,b9
a17,b13
a50,b59
a15,b56
a60,b30
a37,b14
a58,b1
a26,b19
a37,b48
a69,b38
a43,b50
a11,b32
a24,b25
a48,b14
a42,b39
a35,b60
a42,b57
a13,b18
a12,b16
a22,b23
a24,b51
a4,b59
a11,b12
a29,b4
a20,b15
a55,b52
a9,b43
a54,b65
a17,b26
a18,b49
a61,b42
a52,b1
a51,b40
a31,b67
a2,b33
a42,b24
a43,b39
a56,b13
a65,b42
a37,b13
a20,b32
a68,b38
a70,b29
a45,b64
a65,b18
a25,b3
a25,b10
a61,b53
a42,b42
a11,b46
a34,b59
a15,b57
a17,b30
a69,b69
a8,b33
a21,b42
a18,b15
a0,b36
a46,b30
a46,b21
a23,b70
a9,b58
a4,b51
a23,b17
a39,b48
a2,b20
a59,b4
a18,b67
a49,b15
a43,b66
a16,b33
a31,b42
a6,b4
a18,b51
a60,b44
a52,b52
a36,b62
a59,b52
a55,b15
a14,b67
a42,b67
a66,b55
a41,b6
a37,b55
a48,b41
a39,b8
a31,b15
a64,b50
a6,b60
a13,b67
a30,b69
a39,b50
a30,b8
a47,b69
a53,b21
a28,b53
a15,b9
a12,b66
a16,b15
a0,b37
a31,b38
a3,b41
a22,b8
a56,b57
a67,b50
a18,b45
a29,b5
a39,b3
a39,b41
a63,b18
a60,b26
a25,b37
a7,b25
a40,b45
a60,b2
a22,b25
a68,b30
a24,b6
a13,b39
a40,b35
a53,b17
a42,b56
a53,b10
a21,b28
a39,b15
a25,b34
a23,b30
a64,b37
a34,b47
a67,b14
a66,b29
a38,b23
a28,b35
a59,b9
a9,b67
a5,b0
a36,b68
a32,b54
a11,b21
a36,b24
a31,b22
a35,b70
a3,b23
a19,b4
a59,b49
a0,b63
a7,b23
a8,b46
a41,b61
a4,b66
a37,b64
a66,b68
a22,b21
a14,b55
a30,b56
a70,b32
a30,b33
a62,b69
a28,b63
a33,b4
a25,b6
a57,b23
a41,b19
a2,b63
a55,b64
a3,b9
a14,b22
a69,b30
a39,b54
a5,b40
a67,b33
a63,b11
a65,b21
a48,b32
a63,b58
a7,b40
a52,b59
a46,b27
a62,b17
a18,b58
a66,b5
a0,b30
a50,b38
a60,b54
a9,b4
a32,b15
a70,b30
a53,b59
a11,b29
a46,b39
a51,b7
a43,b22
a59,b50
a27,b48
a48,b6
a27,b53
a44,b31
a20,b61
a26,b51
a27,b59
a39,b60
a57,b62
a23,b62
a26,b69
a49,b53
a9,b6
a35,b46
a35,b2
a66,b23
a33,b65
a50,b27
a34,b13
a46,b7
a19,b46
a15,b2
a41,b49
a57,b10
a32,b66
a7,b38
a50,b30
a62,b5
a65,b16
a4,b26
a39,b52
a54,b61
a66,b70
a33,b40
a57,b48
a18,b26
a35,b68
a57,b51
a17,b49
a66,b45
a28,b13
a37,b47
a44,b27
a17,b5
a3,b61
a1,b38
a8,b27
a45,b15
a47,b30
a33,b11
a54,b15
a50,b63
a7,b62
a49,b42
a36,b63
a35,b28
a25,b60
a21,b44
a30,b66
a11,b43
a54,b19
a70,b39
a2,b50
a15,b46
a8,b51
a34,b6
a48,b63
a38,b60
a41,b32
a9,b3
a4,b44
a41,b47
a38,b33
a23,b60
a49,b43
a27,b9
a6,b69
a52,b53
a8,b59
a49,b4
a17,b64
a34,b39
a63,b46
a19,b24
a34,b29
a33,b28
a0,b69
a50,b0
a30,b70
a63,b70
a33,b44
a13,b2
a40,b26
a50,b20
a20,b42
a47,b53
a36,b46
a68,b63
a30,b31
a46,b41
a22,b65
a16,b8
a39,b14
a61,b5
a20,b52
a61,b6
a44,b32
a50,b64
a50,b32
a32,b47
a41,b23
a42,b26
a16,b34
a20,b16
a25,b48
a37,b29
a23,b1
a60,b17
a34,b34
a53,b32
a50,b49
a17,b6
a5,b24
a36,b45
a68,b15
a51,b42
a3,b69
a61,b21
a47,b8
a39,b56
a36,b28
a50,b52
a27,b69
a36,b18
a56,b22
a13,b32
a62,b55
a15,b19
a41,b2
a34,b18
a35,b51
a35,b41
a29,b10
a61,b25
a46,b70
a33,b6
a19,b8
a0,b39
a10,b0
a23,b43
a61,b4
a53,b44
a50,b7
a27,b70
a24,b37
a31,b56
a6,b22
a3,b21
a9,b34
a45,b3
a65,b59
a1,b26
a1,b67
a33,b31
a63,b51
a51,b52
a32,b3
a1,b18
a29,b41
a49,b47
a64,b35
a46,b57
a35,b8
a41,b12
a33,b42
a27,b23
a27,b6
a16,b69
a38,b26
a22,b44
a13,b19
a18,b47
a44,b23
a1,b51
a64,b6
a51,b12
a41,b68
a26,b2
a22,b41
a41,b55
a60,b28
a63,b52
a22,b34
a8,b49
a48,b7
a27,b44
a64,b14
a15,b58
a55,b59
a53,b49
a64,b29
a48,b69
a5,b65
a4,b67
a57,b57
a36,b5
a6,b41
a19,b68
a59,b42
a24,b60
a70,b51
a6,b16
a62,b14
a29,b23
a18,b14
a13,b65
a32,b33
a8,b23
a4,b43
a44,b58
a26,b68
a1,b54
a25,b62
a9,b13
a56,b62
a30,b9
a63,b7
a70,b8
a22,b12
a42,b4
a44,b28
a36,b15
a53,b23
a49,b3
a59,b62
a40,b25
a55,b48
a1,b43
a26,b26
a23,b16
a21,b59
a25,b1
a8,b26
a52,b25
a18,b9
a34,b54
a47,b52
a35,b58
a15,b12
a44,b65
a53,b30
a36,b10
a58,b28
a61,b49
a28,b57
a53,b42
a36,b56
a34,b37
a1,b52
a47,b16
a32,b49
a43,b13
a13,b69
a12,b58
a26,b11
a46,b2
a47,b3
a44,b2
a19,b60
a9,b46
a64,b40
a61,b7
a28,b2
a50,b55
a29,b69
a14,b7
a51,b27
a66,b26
a63,b47
a18,b65
a50,b12
a21,b32
a60,b15
a19,b2
a47,b46
a3,b13
a44,b52
a68,b68
a14,b12
a38,b64
a15,b8
a11,b65
a65,b39
a37,b45
a31,b31
a6,b27
a57,b21
a13,b58
a64,b19
a22,b52
a15,b52
a1,b29
a19,b14
a48,b20
a37,b67
a3,b51
a14,b63
a38,b69
a53,b38
a10,b27
a33,b68
a42,b62
a64,b12
a34,b33
a28,b47
a10,b54
a45,b55
a14,b6
a39,b67
a7,b20
a67,b48
a70,b41
a51,b28
a12,b47
a46,b61
a29,b66
a67,b62
a1,b47
a52,b13
a0,b45
a31,b46
a26,b7
a40,b23
a66,b44
a6,b11
a27,b32
a11,b36
a12,b10
a50,b28
a32,b42
a19,b19
a36,b36
a6,b50
a10,b70
a17,b43
a2,b27
a69,b0
a42,b9
a22,b10
a56,b17
a48,b57
a56,b40
a9,b14
a45,b70
a14,b15
a50,b39
a14,b27
a12,b53
a17,b15
a19,b35
a60,b52
a4,b55
a48,b25
a63,b63
a55,b49
a13,b70
a21,b41
a44,b20
a44,b48
a66,b49
a45,b18
a61,b50
a41,b11
a62,b29
a52,b5
a32,b8
a32,b48
a31,b27
a55,b8
a67,b58
a49,b62
a15,b29
a23,b13
a45,b20
a70,b62
a19,b57
a45,b38
a12,b31
a19,b27
a25,b68
a44,b15
a20,b24
a21,b47
a41,b46
a13,b37
a33,b14
a31,b45
a2,b22
a68,b32
a37,b36
a32,b16
a3,b36
a35,b65
a19,b49
a20,b69
a69,b20
a68,b33
a39,b6
a54,b46
a69,b29
a61,b57
a47,b44
a27,b64
a34,b44
a29,b9
a70,b14
a9,b38
a0,b13
a15,b24
a47,b39
a7,b8
a18,b3
a52,b18
a66,b69
a9,b55
a67,b23
a11,b67
a45,b63
a25,b13
a62,b24
a10,b62
a3,b11
a17,b38
a19,b69
a19,b54
a2,b62
a40,b21
a11,b66
a20,b4
a13,b14
a38,b38
a3,b53
a4,b19
a23,b66
a27,b50
a29,b52
a44,b42
a28,b44
a50,b1
a6,b47
a67,b42
a58,b30
a53,b22
a25,b19
a57,b61
a28,b42
a33,b66
a32,b2
a23,b39
a29,b8
a38,b65
a4,b31
a69,b11
a10,b64
a27,b5
a47,b45
a8,b9
a49,b17
a53,b29
a43,b26
a48,b36
a8,b60
a1,b6
a63,b4
a48,b8
a54,b20
a18,b8
a26,b20
a63,b28
a40,b43
a17,b17
a18,b40
a30,b17
a30,b58
a15,b34
a23,b44
a6,b15
a23,b15
a35,b67
a10,b28
a23,b20
a42,b13
a37,b61
a58,b44
a4,b24
a18,b60
a3,b56
a51,b69
a6,b36
a20,b5
a22,b51
a27,b2
a3,b28
a54,b63
a43,b1
a21,b38
a5,b43
a33,b47
a53,b54
a69,b58
a20,b59
a65,b36
a21,b40
a30,b51
a20,b43
a36,b12
a0,b44
a61,b14
a63,b65
a48,b0
a59,b7
a11,b40
a63,b61
a7,b18
a3,b35
a68,b56
a6,b10
a35,b6
a5,b32
a13,b54
a45,b7
a9,b62
a61,b19
a37,b40
a64,b64
a43,b25
a27,b57
a38,b16
a31,b35
a38,b22
a15,b60
a38,b31
a5,b2
a65,b43
a60,b51
a8,b20
a14,b33
a36,b49
a39,b32
a23,b33
a16,b7
a33,b63
a62,b28
a49,b45
a20,b63
a29,b29
a40,b59
a34,b23
a3,b34
a13,b42
a42,b6
a3,b37
a66,b62
a8,b4
a12,b68
a67,b31
a36,b25
a55,b41
a50,b8
a43,b6
a45,b37
a67,b68
a53,b27
a52,b30
a60,b10
a15,b54
a53,b64
a32,b69
a53,b1
a67,b11
a7,b19
a34,b40
a34,b5
a7,b55
a13,b60
a24,b32
a7,b70
a9,b0
a56,b16
a31,b51
a30,b52
a5,b11
a16,b31
a7,b60
a51,b2
a49,b9
a13,b26
a31,b62
a40,b15
a42,b38
a2,b28
a65,b52
a51,b24
a32,b4
a11,b34
a57,b26
a46,b55
a26,b57
a55,b40
a52,b38
a60,b70
a58,b48
a64,b51
a9,b29
a58,b55
a27,b38
a28,b10
a69,b43
a50,b2
a54,b33
a11,b48
a28,b50
a38,b25
a55,b7
a63,b6
a8,b43
a32,b32
a52,b69
a20,b3
a17,b41
a65,b2
a35,b43
a67,b63
a41,b21
a37,b53
a6,b58
a59,b67
a56,b2
a55,b6
a9,b1
a21,b46
a35,b18
a45,b68
a50,b51
a31,b26
a22,b3
a15,b10
a3,b24
a33,b2
a62,b7
a42,b27
a60,b40
a36,b64
a45,b28
a70,b28
a40,b19
a55,b22
a23,b21
a40,b28
a61,b46
a7,b29
a3,b12
a41,b5
a45,b62
a68,b49
a53,b2
a22,b70
a6,b59
a2,b45
a0,b31
a37,b38
a33,b1
a2,b46
a39,b53
a22,b14
a20,b12
a24,b39
a69,b56
a64,b31
a46,b64
a33,b59
a68,b28
a50,b4
a5,b58
a36,b66
a24,b47
a59,b47
a58,b11
a24,b9
a14,b31
a68,b42
a69,b54
a4,b37
a9,b68
a14,b1
a55,b69
a7,b22
a31,b63
a2,b1
a28,b27
a9,b31
a39,b42
a22,b66
a12,b23
a33,b24
a28,b21
a7,b44
a4,b17
a20,b60
a14,b0
a5,b38
a49,b32
a53,b63
a4,b30
a35,b34
a8,b32
a48,b37
a15,b49
a40,b63
a0,b7
a52,b62
a67,b32
a6,b14
a3,b46
a47,b42
a49,b18
a23,b26
a64,b1
a57,b24
a9,b69
a4,b16
a24,b49
a59,b28
a20,b46
a6,b44
a8,b18
a35,b20
a4,b3
a30,b48
a5,b17
a43,b4
a14,b29
a36,b23
a25,b9
a9,b21
a68,b48
a52,b19
a48,b65
a12,b49
a0,b60
a39,b5
a54,b50
a37,b69
a36,b16
a47,b13
a5,b33
a36,b38
a37,b31
a50,b43
a32,b14
a15,b53
a46,b35
a33,b51
a55,b35
a26,b41
a34,b57
a3,b33
a23,b46
a69,b33
a43,b0
a0,b42
a64,b3
a8,b55
a22,b59
a60,b53
a68,b19
a25,b16
a53,b52
a23,b69
a24,b45
a7,b47
a12,b4
a17,b58
a70,b58
a47,b14
a7,b3
a60,b29
a12,b3
a20,b8
a20,b68
a44,b16
a11,b44
a15,b47
a47,b54
a56,b36
a54,b59
a27,b1
a56,b60
a33,b61
a65,b20
a65,b34
a7,b68
a16,b46
a46,b12
a37,b9
a58,b64
a50,b61
a45,b10
a15,b5
a51,b68
a10,b19
a56,b19
a54,b12
a29,b18
a56,b37
a39,b47
a49,b27
a1,b0
a21,b61
a18,b16
a20,b17
a14,b8
a23,b6
a36,b6
a42,b18
a54,b9
a4,b42
a26,b5
a22,b60
a63,b38
a26,b9
a53,b20
a58,b23
a41,b7
a53,b5
a64,b30
a17,b69
a65,b69
a36,b31
a21,b70
a66,b40
a21,b33
a31,b43
a53,b28
a15,b65
a12,b29
a21,b31
a62,b46
a25,b47
a9,b22
a28,b31
a64,b66
a52,b46
a15,b32
a45,b59
a45,b34
a19,b36
a49,b5
a40,b12
a22,b38
a10,b68
a32,b62
a28,b12
a8,b45
a60,b25
a37,b54
a35,b39
a61,b3
a63,b24
a1,b15
a53,b9
a1,b30
a58,b59
a62,b40
a40,b4
a66,b53
a56,b45
a33,b17
a11,b22
a12,b64
a52,b20
a38,b40
a37,b37
a4,b60
a16,b40
a15,b20
a66,b67
a52,b65
a56,b11
a20,b39
a14,b56
a21,b35
a42,b53
a70,b48
a11,b27
a8,b44
a52,b42
a17,b25
a68,b69
a62,b0
a63,b26
a21,b54
a29,b11
a16,b45
a11,b30
a44,b55
a58,b3
a41,b18
a19,b5
a67,b49
a45,b4
a54,b28
a44,b3
a10,b40
a14,b39
a17,b7
a48,b43
a13,b43
a1,b56
a10,b25
a24,b48
a40,b60
a11,b38
a5,b57
a62,b45
a11,b60
a8,b38
a43,b67
a12,b21
a42,b25
a28,b15
a58,b38
a56,b9
a11,b53
a65,b4
a6,b37
a36,b37
a53,b51
a9,b52
a29,b63
a8,b6
a34,b69
a37,b51
a68,b37
a47,b2
a58,b5
a38,b20
a14,b30
a2,b3
a46,b0
a56,b68
a12,b51
a63,b12
a44,b49
a34,b64
a38,b59
a68,b67
a66,b6
a60,b16
a21,b34
a18,b62
a55,b0
a42,b28
a48,b35
a10,b52
a67,b9
a61,b31
a43,b21
a13,b48
a59,b15
a57,b16
a34,b70
a23,b42
a49,b52
a67,b55
a17,b39
a2,b67
a25,b58
a61,b44
a37,b39
a2,b16
a5,b30
a33,b70
a13,b56
a16,b44
a67,b41
a17,b18
a32,b27
a22,b28
a14,b4
a9,b7
a5,b50
a7,b65
a62,b6
a57,b25
a40,b55
a47,b7
a8,b48
a51,b59
a57,b56
a70,b13
a20,b0
a50,b31
a29,b17
a17,b2
a22,b39
a22,b45
a10,b43
a9,b44
a6,b70
a62,b9
a59,b58
a1,b21
a46,b46
a7,b0
a41,b62
a62,b25
a1,b70
a41,b44
a7,b50
a8,b12
a15,b11
a65,b54
a45,b5
a67,b38
a28,b41
a38,b53
a37,b43
a62,b67
a34,b68
a45,b8
a52,b44
a36,b17
a20,b13
a56,b59
a40,b65
a34,b7
a56,b49
a33,b12
a27,b21
a38,b58
a54,b40
a26,b32
a45,b11
a16,b28
a67,b0
a63,b57
a63,b3
a57,b34
a5,b67
a0,b59
a14,b42
a22,b53
a42,b16
a67,b35
a44,b10
a50,b46
a26,b24
a0,b12
a11,b62
a20,b6
a37,b34
a47,b70
a40,b39
a24,b68
a55,b13
a59,b3
a45,b65
a6,b31
a16,b29
a41,b25
a31,b37
a19,b64
a47,b27
a8,b21
a37,b5
a5,b26
a55,b30
a38,b7
a16,b56
a56,b15
a31,b50
a33,b0
a69,b70
a48,b68
a30,b57
a28,b25
a15,b61
a65,b44
a53,b6
a67,b15
a49,b30
a16,b60
a10,b44
a17,b36
a17,b3
a32,b17
a38,b57
a62,b66
a3,b20
a62,b23
a40,b44
a25,b7
a56,b58
a60,b56
a17,b37
a35,b55
a37,b24
a64,b18
a68,b8
a46,b59
a61,b26
a10,b48
a56,b7
a8,b17
a13,b17
a13,b9
a9,b56
a70,b20
a35,b69
a6,b2
a25,b44
a55,b12
a17,b8
a33,b20
a5,b27
a65,b26
a52,b3
a11,b51
a19,b1
a31,b23
a35,b37
a33,b25
a33,b27
a70,b44
a21,b3
a5,b31
a12,b24
a18,b59
a22,b31
a12,b48
a50,b21
a28,b3
a15,b55
a17,b70
a37,b66
a70,b4
a30,b37
a39,b13
a37,b2
a50,b66
a58,b60
a29,b35
a25,b0
a24,b10
a22,b67
a22,b61
a60,b18
a35,b12
a38,b34
a70,b26
a36,b39
a47,b55
a18,b64
a63,b66
a43,b20
a49,b56
a11,b15
a2,b40
a29,b55
a62,b70
a46,b34
a11,b70
a6,b54
a21,b50
a38,b21
a3,b19
a21,b66
a28,b37
a11,b57
a0,b70
a25,b57
a20,b45
a47,b56
a36,b14
a69,b60
a70,b0
a54,b41
a24,b34
a65,b5
a30,b62
a44,b36
a56,b29
a26,b56
a29,b54
a44,b34
a59,b60
a22,b30
a69,b42
a46,b32
a55,b55
a63,b32
a33,b48
a56,b50
a51,b54
a18,b66
a70,b55
a29,b19
a6,b35
a3,b22
a59,b2
a50,b40
a60,b62
a30,b13
a60,b47
a20,b62
a62,b34
a29,b7
a42,b64
a50,b13
a42,b30
a61,b58
a25,b65
a22,b32
a10,b13
a4,b14
a10,b5
a69,b3
a25,b33
a57,b41
a25,b55
a2,b13
a16,b10
a64,b28
a23,b32
a36,b0
a57,b33
a1,b63
a51,b33
a15,b51
a41,b52
a40,b8
a67,b45
a45,b0
a61,b38
a58,b32
a31,b40
a66,b47
a62,b62
a32,b38
a16,b3
a63,b21
a5,b70
a57,b29
a2,b64
a29,b59
a23,b67
a28,b8
a24,b36
a58,b53
a61,b52
a59,b68
a46,b25
a13,b8
a19,b70
a55,b45
a54,b30
a0,b17
a40,b64
a57,b8
a54,b2
a70,b52
a66,b36
a34,b53
a35,b1
a68,b17
a38,b44
a48,b28
a63,b42
a37,b18
a57,b32
a7,b53
a61,b48
a66,b37
a47,b63
a59,b29
a26,b66
a34,b32
a59,b5
a53,b19
a32,b24
a58,b51
a17,b47
a19,b38
a48,b31
a46,b31
a20,b20
a51,b11
a33,b22
a54,b26
a13,b63
a34,b49
a57,b52
a21,b58
a8,b3
a51,b46
a0,b62
a9,b54
a1,b62
a30,b19
a52,b57
a31,b34
a42,b44
a41,b31
a48,b38
a53,b36
a14,b47
a62,b10
a62,b20
a38,b55
a65,b64
a66,b39
a47,b36
a13,b55
a67,b69
a19,b9
a17,b34
a18,b61
a13,b21
a14,b49
a61,b41
a36,b30
a40,b66
a0,b46
a49,b38
a69,b6
a69,b13
a12,b43
a54,b29
a67,b7
a31,b21
a60,b42
a65,b65
a49,b48
a19,b10
a64,b58
a62,b36
a65,b6
a52,b22
a4,b49
a13,b23
a65,b22
a58,b26
a40,b5
a7,b27
a58,b18
a15,b69
a59,b39
a8,b36
a10,b7
a14,b23
a4,b23
a33,b10
a49,b26
a1,b22
a20,b48
a34,b20
a10,b32
a57,b64
a59,b0
a57,b22
a67,b28
a21,b56
a27,b35
a46,b36
a35,b59
a3,b38
a57,b55
a69,b9
a62,b56
a66,b11
a28,b19
a61,b33
a35,b24
a55,b33
a47,b26
a64,b48
a0,b34
a45,b17
a16,b22
a62,b43
a47,b41
a14,b48
a41,b38
a1,b55
a10,b38
a60,b7
a43,b12
a10,b10
a11,b59
a21,b67
a37,b15
a64,b9
a27,b61
a21,b18
a10,b50
a55,b51
a51,b14
a30,b27
a51,b18
a44,b17
a61,b9
a56,b25
a49,b58
a18,b1
a8,b40
a17,b50
a65,b68
a27,b63
a6,b61
a57,b18
a37,b4
a12,b55
a28,b52
a23,b23
a61,b22
a69,b32
a0,b24
a30,b3
a38,b27
a29,b51
a7,b36
a59,b11
a18,b35
a18,b57
a54,b49
a8,b31
a0,b57
a61,b40
a25,b63
a58,b45
a43,b14
a54,b14
a32,b61
a63,b5
a47,b60
a68,b46
a30,b24
a7,b64
a39,b28
a46,b63
a0,b40
a42,b11
a20,b64
a64,b33
a60,b9
a27,b4
a29,b48
a20,b28
a11,b8
a7,b37
a64,b39
a39,b19
a12,b39
a35,b66
a35,b38
a12,b22
a36,b33
a19,b7
a11,b49
a59,b27
a4,b34
a46,b10
a68,b11
a3,b68
a43,b18
a62,b64
a69,b24
a58,b4
a11,b7
a21,b9
a1,b8
a16,b65
a46,b24
a19,b17
a29,b56
a28,b1
a53,b16
a14,b34
a51,b16
a57,b67
a69,b57
a44,b64
a26,b30
a47,b5
a27,b3
a24,b44
a53,b61
a56,b28
a60,b27
a32,b52
a3,b43
a3,b25
a23,b19
a1,b17
a65,b48
a22,b9
a2,b7
a41,b0
a16,b1
a26,b52
a40,b7
a22,b42
a8,b29
a67,b6
a14,b62
a35,b22
a67,b30
a5,b1
a11,b4
a26,b38
a2,b38
a40,b69
a0,b50
a44,b41
a6,b51
a0,b54
a61,b16
a7,b33
a37,b12
a52,b54
a16,b64
a52,b56
a32,b67
a10,b33
a69,b22
a45,b25
a16,b61
a57,b49
a40,b47
a46,b28
a39,b27
a48,b59
a40,b11
a17,b52
a11,b52
a31,b10
a5,b68
a26,b43
a45,b9
a16,b55
a20,b56
a42,b63
a22,b64
a31,b52
a33,b7
a29,b58
a40,b42
a12,b35
a6,b43
a67,b13
a29,b40
a21,b48
a49,b69
a34,b26
a13,b12
a9,b59
a48,b10
a50,b44
a43,b11
a42,b8
a29,b46
a10,b26
a67,b12
a18,b37
a30,b46
a46,b4
a66,b48
a35,b15
a61,b68
a63,b14
a64,b63
a26,b65
a66,b4
a14,b58
a44,b60
a9,b27
a3,b15
a0,b28
a40,b10
a4,b54
a56,b4
a57,b37
a61,b60
a0,b56
a1,b14
a40,b38
a26,b27
a16,b5
a14,b36
a51,b70
a60,b66
a31,b24
a21,b19
a47,b20
a61,b27
a63,b2
a68,b70
a54,b11
a56,b52
a29,b13
a7,b2
a37,b7
a52,b8
a61,b63
a59,b20
a2,b60
a28,b30
a45,b52
a12,b60
a54,b58
a40,b51
a66,b60
a7,b49
a24,b56
a17,b1
a34,b25
a58,b47
a22,b26
a54,b69
a26,b47
a3,b32
a62,b33
a30,b21
a16,b58
a47,b58
a51,b3
a21,b43
a52,b63
a52,b64
a32,b0
a6,b26
a63,b68
a17,b14
a0,b33
a0,b68
a2,b36
a59,b63
a41,b70
a16,b59
a70,b34
a28,b43
a68,b3
a50,b65
a41,b40
a70,b24
a69,b40
a22,b63
a64,b68
a65,b35
a53,b12
a38,b32
a4,b68
a22,b50
a50,b54
a1,b5
a8,b66
a28,b16
a56,b44
a37,b22
a64,b60
a10,b9
a57,b6
a10,b30
a64,b26
a19,b44
a32,b70
a46,b20
a31,b41
