c,d
c31,d33
c4,d32
c29,d34
c56,d69
c31,d40
c44,d0
c48,d50
c14,d28
c68,d11
c49,d62
c60,d27
c51,d59
c66,d31
c19,d55
c67,d66
c3,d52
c52,d47
c24,d44
c42,d21
c62,d56
c53,d19
c2,d68
c67,d1
c16,d42
c69,d60
c59,d7
c28,d5
c3,d68
c7,d20
c33,d18
c17,d61
c25,d29
c60,d18
c0,d18
c32,d19
c63,d62
c19,d64
c7,d30
c26,d40
c70,d49
c43,d29
c4,d33
c6,d6
c53,d45
c52,d21
c22,d61
c70,d55
c38,d66
c15,d59
c7,d36
c56,d34
c0,d48
c46,d18
c42,d34
c28,d47
c13,d50
c67,d38
c27,d49
c50,d30
c16,d45
c56,d66
c19,d13
c4,d11
c20,d17
c52,d10
c11,d34
c51,d28
c37,d53
c17,d42
c2,d5
c69,d58
c46,d63
c56,d70
c2,d25
c23,d37
c57,d44
c62,d47
c38,d21
c33,d44
c41,d44
c63,d37
c21,d5
c49,d54
c55,d49
c10,d7
c6,d32
c30,d28
c31,d64
c10,d2
c5,d64
c9,d27
c37,d14
c26,d65
c26,d58
c60,d20
c25,d1
c39,d4
c42,d63
c20,d3
c53,d68
c57,d16
c23,d15
c8,d35
c12,d16
c30,d59
c58,d53
c17,d63
c58,d34
c3,d10
c44,d61
c7,d68
c23,d43
c67,d53
c32,d8
c32,d16
c44,d15
c12,d13
c16,d53
c53,d14
c25,d5
c4,d2
c23,d19
c70,d66
c4,d21
c67,d36
c61,d20
c33,d50
c35,d56
c30,d36
c3,d43
c70,d24
c10,d0
c69,d10
c15,d14
c48,d41
c60,d22
c64,d36
c45,d51
c13,d1
c47,d41
c68,d28
c20,d47
c35,d60
c63,d44
c64,d39
c35,d18
c32,d53
c9,d52
c43,d13
c20,d35
c66,d25
c9,d21
c10,d38
c39,d9
c64,d56
c70,d51
c62,d64
c35,d12
c59,d31
c65,d49
c48,d42
c29,d0
c61,d23
c9,d4
c28,d8
c6,d49
c37,d63
c55,d10
c54,d67
c44,d70
c9,d15
c10,d36
c39,d62
c57,d45
c50,d21
c13,d63
c39,d53
c18,d32
c60,d6
c2,d18
c65,d11
c58,d12
c16,d58
c11,d8
c13,d25
c12,d1
c45,d56
c4,d36
c46,d4
c9,d42
c70,d8
c16,d37
c13,d66
c50,d51
c6,d63
c53,d0
c43,d61
c36,d62
c57,d14
c3,d53
c6,d5
c12,d53
c5,d4
c36,d20
c21,d23
c59,d50
c28,d50
c24,d60
c30,d65
c23,d13
c66,d52
c16,d7
c69,d19
c30,d2
c54,d50
c42,d52
c43,d31
c13,d59
c11,d32
c19,d56
c7,d35
c40,d37
c20,d61
c51,d5
c26,d57
c14,d4
c53,d29
c63,d29
c16,d2
c44,d38
c41,d15
c5,d63
c41,d69
c14,d50
c45,d31
c22,d7
c67,d57
c21,d59
c38,d53
c60,d50
c65,d20
c25,d10
c25,d42
c5,d66
c56,d60
c14,d49
c19,d21
c65,d3
c51,d52
c36,d61
c37,d29
c43,d11
c63,d57
c46,d42
c68,d21
c65,d30
c57,d46
c5,d17
c2,d20
c64,d62
c8,d19
c49,d24
c21,d46
c55,d24
c58,d31
c38,d29
c50,d48
c10,d42
c35,d55
c69,d24
c17,d22
c27,d38
c63,d56
c3,d19
c19,d30
c24,d23
c45,d36
c23,d21
c21,d7
c69,d65
c6,d13
c65,d37
c68,d62
c46,d15
c56,d38
c28,d70
c62,d6
c30,d64
c58,d28
c41,d62
c46,d48
c49,d29
c59,d62
c57,d30
c69,d67
c29,d37
c14,d32
c10,d11
c7,d28
c1,d48
c17,d19
c6,d31
c32,d5
c65,d67
c42,d44
c63,d32
c54,d4
c28,d44
c8,d27
c41,d4
c68,d40
c9,d54
c10,d44
c7,d60
c46,d67
c56,d15
c2,d8
c47,d56
c34,d5
c46,d47
c17,d58
c38,d69
c57,d34
c59,d27
c5,d39
c52,d35
c29,d17
c34,d20
c63,d7
c65,d58
c60,d54
c39,d51
c4,d66
c57,d8
c20,d22
c12,d10
c59,d70
c30,d12
c54,d30
c42,d54
c48,d43
c24,d35
c22,d54
c52,d40
c8,d37
c47,d16
c22,d22
c34,d70
c53,d52
c28,d43
c34,d56
c29,d14
c52,d52
c70,d48
c39,d24
c15,d38
c37,d20
c9,d50
c20,d70
c11,d52
c24,d10
c6,d11
c64,d60
c53,d56
c63,d19
c54,d66
c48,d8
c28,d64
c49,d19
c44,d41
c67,d41
c11,d40
c64,d32
c65,d22
c19,d44
c59,d39
c46,d35
c22,d18
c34,d63
c56,d12
c1,d66
c18,d40
c7,d41
c7,d51
c14,d34
c29,d66
c13,d8
c59,d68
c34,d66
c25,d45
c21,d17
c36,d0
c40,d2
c50,d70
c34,d32
c42,d26
c50,d59
c44,d45
c57,d56
c68,d58
c46,d28
c40,d42
c57,d7
c69,d0
c45,d20
c52,d60
c68,d5
c57,d1
c20,d66
c15,d53
c43,d44
c41,d60
c67,d52
c46,d26
c55,d64
c57,d18
c14,d54
c21,d4
c29,d58
c16,d1
c40,d17
c25,d33
c43,d23
c8,d23
c36,d12
c61,d37
c40,d19
c56,d48
c11,d48
c24,d17
c55,d68
c66,d6
c4,d31
c57,d20
c42,d33
c20,d16
c44,d6
c44,d43
c67,d19
c13,d39
c66,d7
c11,d28
c8,d6
c31,d28
c29,d27
c47,d5
c9,d34
c1,d0
c60,d12
c41,d28
c12,d2
c14,d9
c63,d20
c15,d26
c67,d18
c28,d22
c3,d39
c31,d9
c13,d49
c65,d44
c68,d10
c25,d54
c36,d42
c4,d1
c46,d29
c44,d1
c2,d29
c5,d69
c56,d49
c14,d60
c67,d56
c56,d30
c35,d16
c37,d50
c14,d40
c21,d51
c19,d48
c68,d50
c68,d19
c47,d12
c1,d21
c56,d54
c19,d6
c61,d1
c7,d27
c37,d3
c11,d54
c24,d55
c56,d36
c22,d67
c69,d30
c12,d37
c5,d67
c10,d53
c61,d50
c46,d61
c17,d15
c18,d6
c15,d66
c24,d61
c54,d32
c59,d9
c41,d0
c0,d5
c28,d13
c11,d10
c62,d70
c13,d46
c15,d10
c20,d24
c31,d41
c11,d57
c47,d53
c23,d31
c52,d45
c16,d29
c46,d54
c60,d53
c9,d59
c56,d41
c17,d44
c4,d61
c56,d42
c9,d17
c57,d17
c69,d41
c55,d29
c0,d49
c48,d37
c69,d13
c51,d18
c2,d6
c5,d18
c18,d38
c46,d50
c48,d14
c8,d28
c10,d57
c20,d11
c65,d62
c59,d25
c59,d49
c59,d13
c42,d31
c57,d47
c59,d45
c4,d40
c24,d7
c39,d43
c66,d10
c13,d4
c44,d22
c38,d57
c11,d64
c58,d45
c15,d12
c59,d0
c66,d30
c25,d26
c32,d48
c57,d43
c11,d42
c70,d46
c27,d30
c56,d52
c35,d5
c27,d66
c41,d24
c41,d10
c3,d50
c1,d47
c25,d68
c61,d10
c23,d42
c34,d67
c2,d54
c52,d53
c66,d20
c70,d40
c24,d57
c63,d48
c49,d37
c29,d16
c29,d10
c27,d18
c12,d64
c9,d53
c40,d4
c67,d29
c6,d26
c68,d24
c28,d35
c40,d52
c11,d7
c32,d43
c26,d38
c20,d48
c18,d3
c64,d19
c50,d44
c41,d36
c57,d2
c19,d29
c16,d56
c17,d41
c27,d70
c15,d36
c59,d51
c18,d9
c64,d16
c1,d16
c34,d29
c36,d45
c31,d10
c23,d16
c30,d21
c45,d45
c37,d22
c42,d6
c70,d23
c10,d15
c4,d53
c68,d44
c7,d31
c32,d40
c28,d48
c52,d48
c8,d52
c9,d51
c68,d39
c20,d34
c47,d37
c60,d11
c67,d59
c27,d28
c34,d9
c4,d44
c65,d61
c41,d3
c29,d23
c54,d44
c50,d3
c29,d69
c40,d59
c66,d56
c56,d24
c3,d23
c54,d27
c64,d37
c34,d41
c48,d45
c17,d29
c60,d14
c23,d47
c12,d40
c25,d51
c67,d15
c33,d68
c23,d23
c1,d44
c1,d62
c38,d54
c47,d47
c68,d51
c30,d68
c8,d31
c25,d38
c4,d27
c47,d32
c64,d50
c53,d31
c12,d19
c6,d69
c33,d46
c52,d20
c69,d17
c33,d5
c36,d47
c61,d63
c14,d51
c38,d68
c3,d70
c33,d7
c37,d6
c4,d51
c3,d47
c64,d4
c22,d10
c65,d8
c50,d27
c21,d60
c12,d30
c0,d54
c64,d8
c11,d25
c31,d3
c28,d49
c52,d55
c43,d4
c59,d37
c6,d41
c8,d55
c33,d0
c50,d65
c20,d44
c16,d27
c16,d40
c8,d20
c16,d34
c23,d38
c10,d43
c37,d70
c57,d10
c20,d50
c39,d55
c38,d23
c62,d46
c41,d33
c68,d18
c27,d17
c3,d3
c34,d37
c55,d42
c44,d58
c51,d49
c48,d21
c28,d36
c43,d25
c0,d56
c12,d66
c32,d4
c10,d3
c21,d34
c17,d50
c15,d2
c14,d19
c37,d9
c59,d2
c32,d1
c31,d12
c51,d16
c59,d48
c17,d48
c42,d51
c58,d20
c3,d67
c45,d13
c20,d45
c48,d65
c65,d55
c11,d6
c8,d7
c31,d19
c44,d40
c3,d16
c46,d14
c42,d66
c46,d1
c40,d35
c27,d15
c23,d45
c56,d44
c67,d16
c50,d28
c67,d60
c62,d29
c43,d10
c40,d40
c66,d51
c68,d22
c18,d58
c36,d23
c32,d20
c66,d34
c50,d63
c35,d68
c66,d26
c0,d7
c30,d22
c14,d62
c63,d35
c29,d6
c24,d36
c40,d11
c22,d0
c59,d1
c9,d29
c18,d13
c49,d46
c49,d35
c30,d20
c51,d47
c31,d65
c59,d6
c11,d69
c61,d0
c65,d33
c28,d11
c40,d38
c28,d21
c11,d43
c16,d46
c29,d26
c68,d9
c48,d64
c5,d68
c70,d36
c49,d2
c21,d39
c69,d26
c1,d49
c68,d13
c65,d66
c49,d14
c18,d27
c45,d66
c15,d27
c28,d24
c34,d49
c42,d38
c20,d29
c20,d6
c59,d57
c23,d55
c58,d16
c38,d49
c32,d22
c67,d30
c58,d4
c64,d42
c48,d25
c66,d22
c58,d49
c31,d48
c39,d38
c27,d4
c47,d20
c63,d30
c18,d50
c10,d22
c23,d58
c33,d70
c0,d19
c57,d6
c50,d58
c18,d61
c70,d14
c5,d28
c29,d2
c41,d7
c1,d11
c53,d48
c61,d36
c3,d14
c23,d20
c61,d5
c63,d26
c38,d61
c57,d54
c47,d65
c13,d19
c52,d33
c54,d8
c33,d41
c11,d60
c22,d38
c70,d22
c14,d45
c9,d36
c29,d49
c69,d45
c30,d67
c33,d32
c63,d15
c31,d52
c14,d57
c62,d42
c52,d59
c33,d53
c67,d6
c65,d10
c32,d60
c5,d58
c60,d63
c36,d44
c9,d63
c67,d43
c10,d30
c17,d46
c40,d44
c27,d43
c0,d34
c17,d40
c68,d68
c62,d41
c25,d6
c44,d18
c14,d42
c56,d39
c2,d64
c4,d8
c5,d40
c27,d22
c39,d18
c4,d23
c0,d9
c38,d33
c40,d14
c44,d13
c3,d37
c38,d52
c69,d63
c7,d9
c28,d57
c34,d52
c47,d39
c30,d66
c34,d44
c57,d0
c34,d48
c40,d68
c65,d9
c21,d67
c26,d9
c1,d37
c17,d6
c60,d5
c0,d61
c13,d65
c21,d63
c11,d35
c26,d43
c13,d32
c45,d46
c5,d34
c49,d65
c63,d50
c33,d35
c58,d26
c38,d55
c46,d36
c40,d65
c38,d7
c20,d1
c2,d66
c52,d9
c16,d63
c58,d35
c55,d18
c55,d23
c65,d5
c17,d4
c27,d10
c16,d20
c34,d23
c68,d3
c48,d58
c65,d54
c42,d59
c21,d15
c52,d11
c0,d25
c10,d55
c7,d58
c20,d69
c54,d34
c66,d64
c62,d10
c45,d50
c3,d48
c9,d5
c64,d15
c67,d25
c55,d66
c49,d1
c45,d42
c29,d54
c39,d28
c1,d69
c1,d61
c59,d41
c42,d61
c0,d13
c64,d51
c54,d38
c16,d57
c57,d69
c28,d0
c7,d52
c60,d66
c10,d48
c25,d49
c51,d33
c44,d48
c5,d48
c19,d59
c16,d59
c32,d38
c67,d65
c30,d3
c33,d27
c22,d60
c11,d4
c69,d22
c33,d21
c13,d51
c5,d51
c6,d14
c29,d45
c26,d19
c59,d29
c66,d65
c60,d44
c22,d48
c14,d44
c27,d33
c34,d53
c51,d45
c30,d43
c14,d70
c69,d70
c36,d19
c28,d61
c69,d48
c4,d48
c58,d68
c45,d17
c4,d50
c32,d18
c12,d23
c11,d61
c3,d29
c58,d51
c39,d29
c58,d37
c46,d64
c6,d51
c43,d66
c23,d8
c58,d38
c55,d61
c0,d24
c50,d15
c70,d20
c62,d26
c42,d43
c13,d17
c7,d6
c37,d10
c5,d9
c49,d34
c33,d4
c53,d37
c60,d3
c61,d58
c62,d60
c41,d70
c9,d25
c32,d64
c29,d25
c8,d64
c2,d65
c21,d27
c11,d30
c67,d12
c53,d17
c10,d50
c0,d59
c3,d9
c22,d52
c60,d45
c20,d64
c47,d25
c58,d19
c38,d28
c67,d35
c57,d67
c31,d21
c55,d59
c2,d13
c32,d58
c69,d52
c50,d69
c59,d26
c11,d36
c63,d27
c12,d51
c30,d18
c39,d21
c28,d55
c11,d41
c19,d43
c37,d24
c7,d18
c2,d34
c22,d8
c41,d20
c37,d25
c55,d4
c61,d31
c6,d37
c49,d68
c54,d6
c22,d49
c30,d32
c41,d54
c25,d34
c6,d55
c64,d64
c4,d24
c57,d3
c64,d20
c59,d46
c46,d44
c10,d5
c22,d45
c6,d43
c45,d14
c21,d22
c2,d57
c23,d26
c27,d29
c41,d59
c19,d45
c36,d51
c66,d67
c15,d41
c28,d7
c17,d64
c45,d28
c39,d61
c23,d2
c8,d49
c7,d45
c46,d10
c26,d29
c15,d6
c15,d4
c26,d6
c58,d18
c66,d68
c67,d3
c57,d36
c3,d54
c62,d44
c59,d4
c66,d21
c14,d35
c3,d41
c9,d1
c47,d43
c44,d54
c43,d8
c21,d49
c47,d59
c36,d56
c38,d1
c51,d35
c38,d50
c39,d2
c3,d44
c58,d17
c7,d61
c43,d38
c13,d13
c7,d5
c4,d3
c66,d58
c45,d48
c27,d51
c21,d52
c9,d31
c68,d27
c18,d12
c32,d0
c23,d5
c0,d1
c7,d12
c27,d34
c24,d25
c3,d42
c56,d58
c33,d29
c14,d68
c36,d39
c46,d65
c59,d56
c15,d11
c48,d44
c61,d61
c1,d57
c26,d59
c66,d70
c63,d9
c16,d55
c18,d53
c51,d14
c15,d25
c52,d67
c65,d39
c36,d18
c15,d3
c22,d50
c37,d43
c69,d69
c8,d54
c21,d58
c34,d65
c23,d41
c23,d0
c17,d25
c30,d9
c21,d41
c40,d60
c26,d10
c63,d11
c63,d18
c12,d52
c8,d43
c20,d25
c48,d11
c7,d19
c10,d26
c23,d25
c47,d10
c6,d0
c48,d32
c18,d66
c39,d1
c53,d66
c64,d28
c44,d68
c62,d53
c13,d21
c43,d49
c11,d63
c24,d42
c35,d54
c42,d57
c33,d43
c28,d40
c9,d45
c4,d45
c61,d57
c48,d19
c16,d10
c67,d68
c63,d66
c69,d34
c29,d55
c54,d40
c47,d68
c26,d26
c59,d30
c25,d46
c50,d64
c49,d20
c24,d68
c70,d30
c12,d0
c18,d70
c36,d40
c36,d64
c46,d43
c15,d0
c6,d10
