b,c
b50,c38
b14,c7
b58,c23
b6,c50
b61,c13
b7,c22
b53,c54
b60,c2
b69,c70
b68,c58
b48,c18
b39,c48
b1,c3
b31,c69
b67,c64
b49,c64
b20,c19
b35,c39
b62,c42
b52,c23
b59,c31
b51,c16
b30,c34
b53,c62
b38,c33
b63,c5
b20,c39
b43,c12
b9,c24
b34,c13
b49,c25
b43,c69
b36,c18
b41,c60
b51,c68
b29,c61
b19,c23
b2,c2
b54,c30
b59,c1
b0,c19
b0,c5
b51,c69
b32,c70
b51,c7
b25,c67
b23,c22
b2,c57
b60,c60
b45,c34
b58,c3
b7,c18
b63,c14
b67,c58
b43,c1
b13,c32
b29,c50
b53,c1
b30,c24
b59,c57
b2,c44
b8,c2
b41,c8
b33,c38
b2,c66
b7,c20
b24,c70
b20,c60
b62,c4
b11,c9
b66,c60
b67,c52
b34,c21
b47,c22
b68,c25
b36,c47
b18,c67
b7,c26
b30,c33
b33,c15
b20,c23
b46,c51
b50,c54
b55,c26
b53,c64
b67,c15
b66,c0
b34,c1
b1,c45
b23,c23
b37,c14
b16,c20
b36,c32
b18,c60
b26,c69
b68,c32
b9,c52
b3,c13
b58,c22
b54,c58
b29,c53
b44,c18
b66,c56
b37,c34
b57,c63
b67,c13
b39,c18
b19,c68
b54,c56
b30,c38
b50,c9
b22,c70
b9,c37
b3,c53
b41,c53
b38,c11
b38,c28
b26,c4
b43,c7
b42,c46
b5,c63
b68,c62
b10,c69
b54,c13
b8,c19
b17,c8
b33,c10
b41,c56
b63,c38
b55,c70
b18,c43
b28,c36
b19,c61
b1,c35
b70,c52
b62,c1
b41,c70
b54,c46
b38,c39
b49,c51
b1,c13
b4,c6
b23,c65
b35,c17
b58,c57
b26,c57
b68,c39
b1,c8
b18,c38
b4,c1
b3,c35
b48,c65
b19,c52
b38,c3
b40,c16
b10,c30
b31,c26
b19,c39
b57,c46
b8,c58
b23,c69
b27,c16
b59,c12
b44,c33
b43,c10
b26,c10
b56,c0
b25,c1
b7,c47
b39,c59
b70,c40
b61,c28
b54,c10
b49,c62
b31,c36
b31,c56
b60,c32
b10,c38
b29,c25
b49,c43
b11,c41
b30,c2
b47,c16
b65,c16
b42,c4
b6,c15
b31,c50
b20,c47
b10,c18
b33,c62
b29,c8
b70,c12
b23,c51
b11,c7
b8,c66
b11,c20
b26,c42
b58,c64
b25,c38
b48,c51
b70,c66
b1,c48
b2,c64
b23,c18
b62,c31
b52,c60
b33,c21
b13,c55
b61,c32
b16,c31
b22,c35
b61,c50
b17,c37
b9,c45
b0,c14
b41,c67
b31,c29
b63,c49
b22,c34
b19,c64
b17,c16
b56,c37
b49,c37
b26,c14
b53,c14
b1,c33
b35,c43
b64,c30
b3,c22
b7,c67
b57,c18
b70,c16
b21,c6
b12,c27
b14,c55
b22,c63
b37,c51
b65,c22
b54,c0
b3,c34
b42,c68
b13,c69
b43,c49
b36,c42
b26,c1
b8,c13
b50,c23
b15,c11
b68,c60
b30,c7
b1,c16
b70,c8
b48,c29
b45,c53
b9,c46
b30,c20
b30,c57
b31,c4
b26,c64
b56,c59
b56,c60
b33,c39
b64,c43
b22,c44
b9,c30
b41,c1
b55,c29
b30,c13
b7,c69
b52,c55
b29,c48
b52,c1
b48,c12
b25,c50
b29,c29
b40,c18
b10,c50
b9,c26
b64,c56
b42,c48
b23,c58
b33,c46
b46,c37
b61,c42
b17,c36
b16,c13
b12,c33
b21,c20
b53,c17
b1,c37
b0,c65
b15,c62
b61,c8
b44,c14
b26,c61
b11,c39
b21,c39
b62,c2
b23,c19
b29,c43
b38,c5
b23,c49
b32,c58
b50,c64
b55,c1
b39,c17
b53,c67
b16,c16
b7,c6
b52,c66
b52,c15
b5,c68
b46,c42
b56,c7
b29,c55
b20,c7
b47,c2
b26,c55
b30,c52
b4,c12
b8,c25
b35,c34
b52,c8
b64,c59
b11,c54
b58,c63
b1,c38
b34,c10
b46,c68
b56,c44
b52,c61
b47,c32
b58,c67
b29,c35
b39,c13
b66,c24
b25,c8
b17,c21
b65,c44
b69,c39
b69,c48
b61,c33
b29,c12
b27,c39
b21,c5
b24,c19
b2,c65
b43,c15
b15,c28
b24,c59
b39,c61
b18,c54
b32,c24
b31,c70
b12,c39
b69,c53
b3,c23
b10,c34
b2,c37
b7,c24
b32,c46
b66,c33
b38,c41
b45,c50
b59,c48
b49,c26
b42,c34
b31,c67
b44,c38
b64,c16
b5,c24
b49,c23
b42,c64
b37,c22
b47,c66
b62,c36
b31,c37
b42,c17
b22,c1
b64,c51
b65,c68
b1,c21
b47,c9
b24,c5
b19,c30
b10,c49
b14,c50
b52,c70
b67,c24
b3,c65
b54,c63
b13,c24
b68,c24
b12,c56
b50,c52
b62,c17
b27,c11
b3,c10
b21,c44
b55,c43
b23,c37
b70,c43
b26,c39
b27,c41
b17,c64
b27,c9
b47,c12
b70,c13
b12,c6
b61,c31
b28,c42
b43,c30
b27,c22
b0,c57
b9,c59
b54,c40
b47,c57
b60,c54
b7,c1
b5,c48
b65,c70
b26,c29
b60,c48
b0,c8
b30,c64
b59,c9
b18,c34
b49,c12
b38,c55
b29,c51
b61,c52
b17,c35
b57,c67
b39,c60
b7,c43
b68,c50
b7,c51
b28,c66
b65,c54
b23,c67
b0,c22
b56,c26
b12,c52
b59,c18
b54,c3
b37,c42
b14,c14
b19,c12
b26,c27
b32,c27
b36,c6
b54,c50
b32,c60
b39,c14
b69,c41
b10,c6
b66,c44
b55,c14
b1,c64
b61,c10
b42,c8
b44,c12
b25,c56
b52,c7
b25,c13
b29,c31
b29,c6
b27,c69
b8,c64
b19,c44
b5,c60
b10,c1
b8,c30
b7,c3
b70,c38
b46,c53
b58,c38
b43,c50
b34,c54
b8,c5
b1,c50
b66,c52
b45,c1
b8,c21
b20,c1
b5,c58
b57,c61
b34,c18
b5,c67
b62,c29
b29,c54
b41,c45
b43,c70
b57,c15
b51,c43
b2,c33
b39,c58
b29,c39
b11,c16
b30,c18
b30,c56
b58,c1
b2,c10
b20,c27
b49,c41
b28,c43
b44,c62
b23,c61
b58,c24
b16,c21
b10,c17
b23,c62
b4,c59
b28,c49
b24,c51
b69,c64
b52,c25
b4,c68
b55,c30
b17,c41
b19,c41
b62,c61
b5,c51
b31,c0
b46,c16
b49,c42
b28,c7
b69,c57
b24,c46
b14,c35
b17,c34
b9,c41
b23,c41
b41,c20
b53,c41
b60,c25
b11,c68
b45,c19
b21,c54
b40,c69
b35,c1
b17,c43
b51,c17
b6,c18
b63,c32
b24,c38
b31,c39
b26,c23
b29,c40
b6,c29
b4,c54
b39,c65
b29,c58
b36,c60
b40,c2
b66,c4
b16,c58
b34,c58
b69,c60
b27,c42
b5,c21
b62,c43
b2,c40
b63,c70
b70,c69
b63,c17
b26,c48
b11,c64
b67,c31
b53,c47
b61,c61
b24,c2
b27,c28
b64,c47
b11,c58
b23,c24
b52,c65
b39,c24
b17,c10
b60,c51
b23,c1
b0,c18
b30,c65
b21,c21
b63,c66
b55,c36
b30,c48
b47,c35
b24,c47
b20,c58
b7,c38
b12,c47
b45,c65
b41,c31
b44,c1
b54,c42
b69,c11
b5,c70
b14,c69
b20,c35
b35,c23
b31,c66
b13,c5
b53,c19
b22,c6
b43,c56
b62,c15
b40,c57
b29,c9
b17,c59
b26,c54
b47,c34
b3,c8
b47,c51
b3,c19
b0,c24
b29,c47
b18,c36
b12,c46
b53,c70
b60,c38
b25,c22
b46,c7
b4,c65
b47,c39
b65,c45
b68,c40
b48,c62
b4,c18
b58,c62
b3,c67
b48,c57
b4,c63
b15,c32
b4,c3
b13,c20
b35,c8
b50,c41
b1,c55
b27,c25
b37,c64
b35,c4
b13,c59
b45,c68
b54,c20
b27,c8
b34,c15
b4,c33
b43,c44
b17,c61
b63,c40
b11,c57
b12,c25
b59,c56
b32,c43
b35,c35
b53,c27
b40,c60
b19,c9
b10,c51
b37,c60
b32,c40
b50,c32
b5,c1
b60,c63
b46,c27
b31,c3
b27,c67
b38,c34
b64,c23
b12,c70
b67,c49
b19,c62
b7,c60
b15,c7
b5,c43
b16,c67
b52,c43
b10,c16
b17,c27
b22,c32
b39,c43
b28,c57
b63,c39
b15,c44
b17,c40
b42,c29
b49,c52
b27,c31
b4,c47
b14,c56
b37,c3
b48,c54
b33,c40
b57,c32
b38,c37
b49,c45
b14,c52
b12,c4
b66,c29
b37,c26
b56,c53
b37,c4
b35,c33
b56,c66
b66,c35
b68,c5
b1,c20
b44,c57
b1,c32
b50,c25
b42,c70
b18,c10
b0,c58
b69,c42
b58,c39
b32,c19
b53,c40
b50,c30
b61,c17
b20,c52
b68,c53
b3,c47
b52,c68
b30,c12
b27,c50
b50,c33
b19,c54
b65,c23
b0,c10
b69,c62
b34,c43
b35,c38
b12,c0
b48,c45
b5,c41
b1,c68
b13,c31
b33,c5
b54,c68
b13,c6
b55,c38
b35,c13
b9,c15
b46,c63
b35,c14
b33,c6
b49,c59
b54,c37
b16,c12
b65,c63
b64,c0
b3,c32
b55,c68
b35,c40
b6,c47
b41,c26
b54,c32
b1,c26
b62,c44
b59,c32
b18,c29
b18,c62
b56,c58
b41,c69
b59,c49
b26,c62
b48,c6
b11,c6
b64,c6
b29,c1
b25,c2
b55,c8
b56,c50
b12,c64
b51,c21
b54,c4
b24,c39
b18,c65
b34,c26
b69,c36
b9,c12
b52,c47
b62,c52
b60,c24
b59,c13
b39,c32
b25,c52
b0,c41
b37,c59
b22,c4
b47,c27
b15,c15
b30,c59
b0,c45
b63,c65
b1,c4
b0,c54
b0,c3
b5,c56
b20,c5
b8,c14
b25,c17
b60,c59
b67,c12
b26,c45
b27,c24
b42,c5
b50,c43
b11,c12
b62,c19
b62,c69
b69,c12
b57,c68
b66,c68
b32,c68
b53,c48
b14,c68
b64,c68
b20,c51
b67,c14
b49,c20
b48,c44
b14,c38
b15,c0
b70,c46
b35,c64
b36,c35
b70,c65
b69,c13
b52,c59
b6,c35
b59,c60
b26,c60
b40,c17
b5,c30
b42,c60
b60,c12
b44,c4
b32,c39
b10,c45
b53,c42
b37,c47
b17,c17
b63,c59
b19,c0
b18,c32
b21,c45
b24,c64
b1,c57
b64,c31
b4,c27
b16,c35
b2,c56
b62,c8
b29,c34
b10,c22
b40,c12
b44,c29
b40,c38
b41,c24
b15,c49
b8,c12
b8,c24
b70,c47
b8,c68
b17,c15
b69,c7
b17,c38
b32,c16
b67,c20
b10,c40
b33,c67
b14,c2
b3,c54
b66,c47
b47,c43
b13,c56
b20,c14
b9,c66
b47,c70
b65,c59
b33,c23
b11,c32
b35,c51
b19,c35
b47,c13
b61,c58
b44,c7
b6,c61
b19,c48
b37,c43
b21,c13
b23,c44
b43,c3
b25,c51
b3,c41
b55,c5
b37,c48
b34,c9
b64,c26
b70,c39
b60,c31
b34,c40
b50,c16
b25,c49
b54,c65
b16,c15
b4,c32
b48,c35
b35,c25
b21,c67
b25,c11
b70,c4
b63,c23
b58,c40
b47,c30
b40,c55
b20,c59
b8,c6
b65,c46
b31,c68
b22,c29
b35,c70
b39,c27
b54,c14
b29,c4
b2,c47
b44,c35
b34,c37
b28,c59
b11,c36
b18,c16
b17,c51
b55,c27
b12,c62
b66,c62
b38,c12
b31,c15
b9,c17
b25,c24
b46,c67
b24,c28
b20,c46
b17,c66
b11,c45
b3,c38
b19,c28
b3,c48
b46,c47
b50,c17
b29,c37
b69,c54
b31,c23
b29,c27
b69,c59
b41,c13
b34,c30
b3,c21
b42,c20
b47,c58
b16,c0
b5,c47
b23,c6
b28,c40
b12,c44
b13,c29
b1,c14
b57,c13
b44,c50
b22,c19
b57,c53
b63,c37
b61,c23
b39,c41
b38,c49
b5,c52
b27,c17
b16,c66
b59,c50
b49,c57
b54,c8
b70,c55
b13,c70
b13,c53
b62,c51
b3,c37
b41,c19
b7,c41
b33,c65
b26,c2
b53,c30
b56,c49
b16,c30
b45,c54
b37,c61
b34,c16
b24,c25
b36,c3
b17,c63
b37,c63
b30,c53
b57,c9
b50,c48
b61,c14
b56,c22
b32,c42
b42,c6
b37,c10
b29,c10
b18,c37
b6,c17
b16,c46
b36,c16
b29,c41
b66,c36
b70,c62
b68,c67
b27,c60
b21,c11
b6,c31
b16,c50
b50,c29
b66,c58
b65,c8
b39,c9
b31,c44
b66,c27
b45,c27
b30,c3
b27,c0
b67,c0
b65,c35
b14,c24
b45,c35
b27,c5
b62,c67
b31,c14
b61,c56
b30,c9
b51,c51
b56,c45
b6,c27
b6,c33
b28,c20
b53,c66
b9,c69
b15,c26
b22,c27
b61,c63
b5,c57
b4,c21
b2,c3
b32,c22
b21,c48
b45,c18
b19,c14
b23,c30
b22,c51
b55,c10
b39,c53
b45,c14
b37,c23
b4,c34
b8,c49
b50,c70
b22,c40
b49,c21
b16,c60
b54,c27
b14,c30
b9,c7
b49,c18
b70,c64
b66,c38
b39,c46
b48,c5
b25,c12
b8,c15
b38,c63
b39,c57
b27,c57
b64,c64
b26,c16
b64,c3
b26,c65
b69,c51
b56,c15
b45,c47
b39,c23
b67,c56
b24,c36
b69,c30
b47,c41
b54,c51
b17,c33
b6,c62
b27,c48
b63,c26
b1,c9
b27,c46
b39,c63
b18,c64
b25,c21
b51,c49
b24,c33
b62,c13
b10,c65
b44,c42
b67,c39
b40,c28
b25,c58
b2,c23
b42,c42
b19,c31
b30,c70
b15,c10
b67,c2
b44,c13
b55,c24
b24,c41
b19,c65
b49,c50
b36,c57
b31,c32
b22,c12
b27,c62
b27,c27
b27,c56
b22,c21
b70,c17
b60,c44
b64,c32
b38,c57
b45,c63
b59,c28
b9,c47
b6,c64
b53,c9
b12,c5
b8,c34
b7,c63
b18,c55
b22,c64
b22,c33
b51,c42
b36,c25
b50,c28
b32,c67
b52,c12
b24,c42
b57,c47
b22,c62
b7,c29
b42,c31
b16,c63
b9,c56
b11,c65
b69,c28
b44,c8
b70,c24
b62,c66
b8,c67
b64,c35
b9,c35
b1,c41
b31,c49
b52,c4
b68,c55
b20,c66
b47,c1
b10,c37
b21,c2
b32,c29
b23,c8
b29,c28
b52,c62
b33,c28
b2,c22
b19,c16
b44,c30
b11,c34
b66,c48
b13,c19
b62,c5
b30,c5
b2,c1
b51,c1
b10,c12
b30,c39
b15,c42
b22,c49
b1,c42
b42,c67
b40,c67
b30,c15
b7,c66
b66,c50
b33,c2
b40,c25
b4,c37
b1,c5
b47,c46
b29,c36
b31,c10
b13,c26
b62,c33
b24,c61
b59,c68
b41,c23
b55,c12
b0,c50
b16,c43
b61,c6
b48,c19
b19,c4
b7,c61
b28,c62
b36,c26
b36,c30
b4,c57
b7,c49
b49,c55
b14,c33
b30,c54
b66,c5
b19,c43
b52,c9
b43,c31
b20,c61
b46,c30
b35,c44
b69,c27
b52,c29
b0,c37
b58,c66
b63,c25
b69,c37
b69,c65
b58,c61
b22,c45
b54,c19
b61,c69
b45,c13
b57,c52
b67,c21
b18,c8
b24,c55
b7,c48
b24,c56
b23,c50
b54,c6
b41,c35
b14,c53
b40,c30
b42,c28
b6,c8
b2,c70
b40,c53
b63,c51
b57,c55
b37,c54
b32,c3
b5,c33
b42,c63
b50,c15
b14,c37
b21,c69
b67,c67
b19,c26
b5,c45
b25,c44
b59,c67
b46,c48
b25,c41
b26,c20
b20,c31
b13,c28
b42,c40
b32,c63
b56,c55
b1,c39
b12,c1
b11,c22
b5,c16
b4,c14
b10,c2
b21,c62
b32,c66
b68,c43
b59,c23
b15,c68
b51,c11
b16,c28
b62,c58
b55,c15
b3,c14
b68,c35
b59,c8
b58,c0
b31,c42
b23,c26
b61,c16
b65,c32
b46,c70
b68,c38
b10,c55
b70,c59
b67,c65
b11,c47
b17,c3
b52,c64
b18,c40
b24,c50
b40,c61
b62,c3
b34,c11
b17,c45
b63,c68
b39,c49
b70,c29
b61,c65
b28,c11
b67,c43
b27,c44
b69,c66
b11,c27
b38,c22
b9,c4
b36,c19
b32,c61
b16,c65
b29,c24
b18,c23
b16,c68
b40,c0
b18,c31
b69,c67
b40,c41
b20,c56
b66,c26
b34,c5
b32,c53
b5,c5
b36,c24
b63,c33
b64,c24
b66,c55
b20,c68
b13,c50
b23,c21
b17,c24
b28,c56
b34,c56
b60,c64
b46,c28
b66,c40
b22,c30
b6,c6
b5,c64
b4,c53
b42,c9
b56,c13
b65,c65
b54,c25
b15,c6
b17,c50
b35,c5
b25,c9
b67,c62
b47,c17
b29,c14
b54,c12
b11,c59
b21,c9
b19,c70
b51,c19
b34,c67
b60,c9
b70,c42
b2,c13
b13,c13
b58,c6
b43,c39
b51,c66
b39,c64
b47,c11
b59,c30
b21,c61
b29,c49
b34,c8
b23,c20
b55,c13
b41,c27
b40,c51
b34,c25
b39,c47
b64,c11
b45,c41
b28,c15
b53,c35
b52,c46
b3,c44
b43,c36
b31,c48
b46,c18
b4,c9
b11,c33
b52,c33
b29,c59
b44,c47
b36,c2
b15,c31
b63,c20
b36,c4
b6,c53
b60,c35
b7,c14
b46,c1
b56,c62
b22,c66
b10,c9
b70,c70
b7,c40
b66,c10
b38,c56
b27,c6
b58,c26
b66,c13
b8,c55
b46,c54
b31,c6
b36,c61
b65,c1
b26,c19
b13,c11
b18,c17
b37,c2
b38,c9
b7,c46
b9,c33
b70,c58
b66,c9
b13,c14
b1,c28
b17,c44
b33,c56
b39,c20
b32,c8
b31,c33
b41,c30
b60,c11
b16,c56
b23,c54
b40,c59
b13,c30
b35,c57
b67,c55
b58,c34
b69,c47
b48,c14
b48,c70
b17,c14
b13,c21
b62,c55
b40,c21
b0,c34
b8,c47
b42,c45
b51,c40
b25,c0
b41,c68
b18,c70
b37,c21
b47,c24
b46,c11
b55,c3
b37,c44
b66,c6
b50,c46
b12,c13
b43,c68
b3,c4
b8,c57
b58,c70
b7,c52
b60,c70
b61,c25
b54,c57
b43,c65
b53,c34
b64,c41
b35,c56
b45,c31
b18,c68
b16,c44
b38,c16
b13,c15
b41,c32
b49,c6
b51,c67
b43,c53
b62,c45
b7,c21
b29,c16
b68,c28
b66,c1
b51,c63
b25,c39
b41,c29
b40,c44
b27,c63
b22,c56
b65,c15
b36,c1
b21,c63
b52,c42
b24,c45
b40,c39
b66,c7
b50,c26
b55,c18
b14,c36
b37,c32
b36,c51
b24,c43
b1,c62
b54,c38
b18,c11
b41,c2
b26,c59
b20,c11
b44,c16
b57,c48
b46,c20
b19,c53
b23,c68
b47,c40
b43,c28
b46,c24
b6,c1
b41,c54
b60,c65
b44,c27
b63,c18
b22,c16
b55,c9
b15,c9
b31,c24
b24,c14
b28,c27
b32,c47
b33,c3
b39,c29
b46,c52
b57,c51
b62,c27
b23,c32
b43,c43
b57,c65
b1,c59
b14,c0
b51,c46
b12,c41
b6,c40
b70,c6
b70,c41
b30,c6
b37,c24
b28,c64
b63,c4
b33,c18
b26,c63
b24,c65
b7,c17
b6,c52
b59,c61
b42,c2
b56,c52
b35,c48
b32,c52
b25,c5
b52,c30
b1,c69
b12,c32
b34,c50
b45,c16
b28,c25
b29,c2
b36,c9
b47,c10
b67,c68
b45,c64
b68,c10
b15,c13
b39,c52
b2,c53
b28,c65
b41,c37
b4,c64
b41,c12
b63,c69
b20,c41
b67,c5
b4,c43
b58,c30
b23,c55
b16,c34
b39,c12
b46,c31
b8,c46
b28,c12
b38,c0
b66,c70
b38,c21
b39,c56
b5,c31
b53,c6
b43,c48
b51,c26
b0,c62
b35,c69
b39,c19
b70,c28
b13,c16
b18,c53
b4,c46
b21,c16
b68,c69
b35,c47
b14,c65
b11,c48
b70,c50
b3,c0
b39,c36
b10,c59
b68,c2
b48,c56
b31,c65
b50,c21
b33,c30
b36,c50
b1,c6
b5,c11
b47,c63
b55,c63
b52,c16
b23,c46
b24,c0
b15,c5
b10,c31
b56,c5
b61,c38
b60,c58
b11,c17
b55,c6
b55,c21
b8,c43
b66,c21
b45,c67
b25,c70
b5,c34
b18,c57
b8,c16
b3,c33
b23,c15
b13,c63
b27,c59
b46,c55
b5,c53
b26,c32
b2,c41
b32,c54
b20,c29
b68,c54
b45,c2
b29,c15
b60,c8
b3,c59
b48,c16
b67,c27
b44,c43
b21,c43
b68,c16
b52,c19
b47,c56
b45,c8
b14,c12
b6,c65
b32,c17
b4,c51
b0,c36
b2,c42
b31,c11
b69,c5
b54,c9
b67,c7
b66,c37
b51,c61
b33,c25
b19,c20
b51,c28
b18,c7
b55,c54
b55,c31
b63,c42
b47,c8
b45,c62
b9,c28
b25,c55
b29,c7
b33,c33
b13,c40
b30,c41
b53,c8
b34,c27
b63,c19
b22,c50
b19,c1
b32,c35
b49,c49
b52,c22
b31,c1
b20,c37
b50,c34
b20,c26
b14,c47
b34,c3
b20,c3
b29,c45
b53,c57
b33,c17
b41,c51
b46,c62
b56,c19
b24,c24
b19,c46
b53,c11
b49,c3
b2,c16
b6,c3
b31,c40
b58,c56
b38,c62
b64,c45
b49,c11
b6,c32
b22,c15
b29,c38
b55,c59
b27,c3
b48,c36
b47,c38
b58,c45
b2,c29
b30,c19
b44,c19
b3,c5
b8,c26
b63,c13
b13,c10
b51,c37
b55,c56
b61,c18
b19,c19
b11,c14
b4,c60
b20,c22
b56,c18
b49,c47
b52,c54
b63,c15
b44,c54
b59,c62
b40,c58
b65,c3
b14,c4
b41,c7
b8,c42
b45,c52
b67,c36
b46,c65
b70,c56
b50,c36
b52,c0
b69,c2
b21,c26
b26,c0
b35,c36
b7,c13
b59,c33
b44,c6
b2,c19
b33,c41
b5,c35
b34,c4
b62,c7
b47,c0
b43,c37
b13,c57
b46,c44
b27,c34
b38,c70
