a,b
a97,b5
a49,b20
a49,b60
a21,b63
a69,b78
a76,b7
a54,b63
a53,b36
a67,b51
a76,b39
a46,b67
a36,b61
a83,b34
a71,b36
a84,b91
a95,b37
a3,b1
a98,b31
a74,b5
a81,b20
a52,b96
a87,b49
a6,b40
a95,b50
a6,b74
a92,b40
a9,b28
a54,b92
a61,b32
a96,b31
a5,b66
a12,b92
a59,b18
a31,b77
a90,b14
a6,b79
a53,b58
a15,b26
a6,b45
a67,b19
a15,b46
a56,b17
a85,b53
a58,b76
a33,b81
a74,b87
a53,b46
a99,b95
a67,b17
a16,b30
a61,b14
a64,b39
a64,b79
a45,b35
a34,b78
a87,b92
a72,b89
a81,b35
a96,b30
a24,b31
a64,b83
a5,b80
a7,b1
a34,b33
a54,b3
a79,b4
a13,b28
a69,b35
a9,b96
a11,b86
a20,b70
a30,b80
a47,b61
a61,b45
a26,b43
a43,b63
a95,b17
a9,b15
a57,b79
a98,b98
a27,b56
a54,b95
a33,b49
a19,b47
a19,b83
a76,b41
a37,b70
a97,b95
a23,b54
a83,b47
a74,b12
a10,b69
a10,b55
a72,b72
a62,b87
a59,b38
a99,b1
a9,b39
a88,b38
a63,b92
a97,b88
a41,b36
a18,b28
a45,b84
a92,b41
a46,b15
a41,b90
a56,b72
a76,b87
a35,b56
a67,b39
a58,b40
a28,b51
a93,b66
a31,b10
a46,b46
a3,b46
a86,b50
a74,b49
a24,b94
a72,b47
a49,b69
a19,b75
a72,b22
a22,b11
a97,b58
a36,b2
a28,b66
a7,b69
a20,b72
a37,b2
a83,b54
a8,b74
a69,b39
a42,b10
a35,b94
a13,b40
a10,b3
a81,b83
a18,b12
a95,b83
a54,b31
a91,b28
a62,b97
a66,b43
a50,b44
a43,b42
a86,b17
a63,b62
a68,b92
a9,b90
a79,b5
a85,b44
a11,b59
a69,b81
a3,b67
a46,b90
a1,b14
a53,b53
a18,b31
a94,b20
a81,b48
a87,b21
a41,b26
a49,b54
a67,b37
a35,b7
a60,b39
a93,b14
a38,b82
a19,b99
a22,b7
a96,b58
a2,b74
a61,b4
a40,b13
a45,b27
a75,b30
a76,b91
a60,b76
a65,b28
a56,b23
a35,b51
a22,b96
a39,b80
a70,b70
a61,b33
a62,b51
a70,b98
a6,b27
a17,b49
a67,b66
a99,b35
a7,b84
a30,b1
a60,b47
a91,b53
a77,b20
a53,b20
a98,b41
a18,b33
a66,b16
a81,b94
a79,b34
a66,b68
a6,b19
a73,b98
a22,b0
a26,b19
a16,b10
a45,b34
a78,b91
a67,b12
a61,b88
a59,b10
a95,b75
a69,b64
a24,b53
a24,b87
a11,b56
a26,b4
a69,b52
a67,b63
a20,b39
a40,b39
a51,b9
a71,b39
a59,b85
a91,b8
a46,b9
a87,b17
a13,b85
a50,b86
a59,b95
a15,b83
a56,b1
a48,b91
a90,b60
a30,b37
a72,b14
a58,b98
a1,b92
a26,b78
a19,b37
a80,b48
a69,b95
a96,b50
a71,b85
a11,b32
a24,b25
a48,b93
a14,b42
a39,b35
a72,b60
a92,b81
a42,b57
a48,b11
a13,b18
a79,b12
a16,b86
a80,b90
a22,b23
a24,b51
a4,b59
a75,b90
a11,b12
a29,b4
a20,b15
a55,b52
a98,b9
a43,b54
a65,b17
a82,b26
a98,b18
a88,b49
a61,b42
a52,b79
a1,b93
a51,b78
a89,b40
a31,b84
a77,b67
a2,b33
a42,b24
a43,b39
a83,b56
a13,b71
a48,b26
a65,b42
a37,b13
a20,b32
a98,b68
a38,b70
a29,b45
a78,b64
a65,b18
a73,b91
a91,b90
a25,b72
a3,b80
a84,b25
a99,b10
a61,b73
a53,b89
a42,b42
a34,b59
a15,b57
a93,b17
a30,b72
a69,b69
a71,b8
a71,b33
a21,b95
a42,b76
a18,b15
a0,b36
a87,b46
a30,b97
a73,b46
a21,b23
a76,b70
a9,b58
a4,b51
a23,b84
a17,b39
a96,b85
a94,b48
a81,b97
a2,b20
a25,b52
a59,b4
a18,b67
a49,b15
a72,b51
a22,b43
a33,b31
a72,b42
a6,b82
a4,b92
a85,b18
a51,b63
a76,b13
a60,b44
a88,b72
a97,b52
a96,b36
a62,b59
a88,b52
a55,b15
a67,b42
a3,b41
a6,b37
a92,b78
a55,b93
a48,b76
a41,b96
a39,b75
a8,b31
a31,b64
a50,b6
a60,b88
a13,b67
a30,b69
a39,b84
a50,b30
a85,b47
a69,b53
a72,b21
a28,b83
a95,b53
a72,b15
a9,b12
a15,b68
a73,b58
a0,b37
a31,b93
a38,b3
a41,b22
a8,b56
a57,b67
a50,b18
a45,b88
a74,b29
a5,b39
a3,b58
a41,b63
a18,b99
a99,b60
a26,b25
a37,b88
a7,b25
a40,b45
a60,b2
a22,b81
a89,b71
a25,b68
a80,b30
a24,b6
a83,b13
a39,b92
a40,b35
a53,b91
a89,b99
a56,b53
a10,b21
a28,b39
a15,b90
a88,b25
a34,b23
a92,b30
a64,b85
a37,b34
a47,b84
a67,b14
a75,b66
a29,b38
a23,b85
a28,b35
a16,b81
a85,b11
a56,b67
a9,b67
a5,b0
a76,b75
a36,b68
a32,b54
a72,b11
a21,b36
a96,b24
a31,b22
a35,b93
a70,b3
a23,b19
a4,b79
a59,b96
a0,b63
a7,b23
a8,b71
a99,b82
a46,b41
a84,b61
a4,b66
a37,b64
a81,b87
a66,b95
a68,b22
a76,b99
a98,b21
a14,b77
a55,b30
a85,b56
a33,b62
a69,b28
a74,b77
a63,b33
a4,b25
a6,b73
a57,b23
a41,b19
a77,b2
a77,b63
a55,b64
a56,b92
a33,b3
a9,b14
a22,b72
a81,b69
a74,b92
a30,b79
a18,b6
a39,b54
a5,b89
a40,b79
a94,b67
a99,b33
a97,b75
a63,b11
a83,b65
a21,b48
a32,b31
a20,b63
a88,b84
a76,b58
a7,b40
a52,b59
a46,b89
a27,b90
a5,b16
a62,b96
a97,b76
a17,b18
a95,b58
a30,b52
a67,b18
a11,b50
a71,b38
a60,b54
a9,b4
a87,b91
a97,b93
a78,b29
a37,b32
a15,b70
a30,b53
a59,b11
a29,b46
a39,b43
a78,b27
a5,b20
a51,b74
a83,b7
a94,b43
a72,b88
a75,b22
a59,b50
a27,b48
a48,b6
a27,b53
a44,b31
a23,b70
a20,b61
a26,b51
a27,b76
a59,b97
a39,b60
a57,b62
a80,b86
a23,b62
a26,b69
a49,b53
a9,b6
a88,b35
a46,b35
a79,b2
a66,b23
a94,b33
a65,b50
a72,b83
a91,b27
a34,b13
a46,b7
a19,b93
a99,b46
a17,b98
a30,b92
a15,b2
a41,b49
a57,b10
a48,b41
a32,b98
a66,b85
a7,b38
a30,b62
a5,b24
a19,b65
a76,b16
a4,b26
a39,b52
a54,b61
a69,b88
a17,b66
a90,b70
a33,b40
a92,b57
a18,b26
a35,b68
a91,b57
a51,b17
a49,b66
a45,b28
a47,b44
a17,b5
a3,b95
a80,b61
a72,b1
a38,b84
a85,b8
a27,b71
a88,b45
a85,b15
a99,b47
a33,b11
a54,b15
a50,b63
a7,b62
a49,b42
a36,b63
a90,b35
a28,b20
a51,b25
a60,b98
a21,b44
a85,b91
a30,b66
a11,b95
a19,b61
a74,b32
a89,b70
a39,b89
a2,b50
a8,b51
a34,b6
a48,b63
a74,b38
a60,b92
a41,b32
a9,b3
a4,b44
a41,b47
a72,b38
a33,b85
a23,b82
a60,b49
a78,b43
a46,b3
a73,b90
a27,b98
a9,b80
a78,b53
a8,b59
a57,b48
a49,b4
a64,b34
a39,b63
a46,b60
a2,b19
a77,b24
a34,b29
a33,b87
a28,b30
a66,b0
a69,b50
a0,b30
a70,b63
a83,b97
a70,b10
a79,b71
a88,b42
a33,b44
a13,b2
a26,b89
a50,b87
a20,b24
a20,b20
a42,b79
a88,b62
a72,b37
a47,b53
a36,b46
a95,b85
a68,b63
a30,b82
a31,b46
a22,b65
a94,b16
a8,b8
a13,b90
a39,b14
a98,b86
a61,b5
a52,b61
a6,b44
a32,b50
a64,b94
a88,b50
a81,b32
a47,b91
a87,b41
a23,b42
a97,b26
a72,b16
a72,b53
a82,b90
a16,b79
a94,b34
a20,b16
a25,b48
a79,b85
a37,b29
a83,b23
a1,b60
a17,b34
a88,b34
a53,b32
a80,b85
a50,b49
a6,b20
a36,b45
a93,b68
a15,b51
a42,b3
a69,b61
a21,b47
a8,b39
a56,b83
a36,b28
a50,b92
a79,b52
a97,b18
a73,b49
a36,b18
a56,b22
a32,b62
a19,b41
a2,b34
a18,b35
a80,b51
a35,b41
a29,b10
a61,b25
a46,b70
a33,b71
a8,b0
a97,b39
a85,b10
a0,b23
a43,b61
a17,b25
a4,b53
a44,b71
a50,b71
a7,b27
a70,b78
a84,b79
a32,b35
a24,b37
a31,b56
a73,b92
a6,b22
a3,b21
a68,b15
a86,b9
a34,b45
a3,b96
a8,b65
a59,b1
a26,b8
a46,b1
a98,b67
a94,b63
a51,b39
a68,b85
a12,b61
a51,b90
a52,b32
a79,b3
a1,b73
a18,b29
a92,b47
a64,b84
a35,b46
a80,b81
a57,b45
a8,b83
a41,b76
a12,b33
a42,b27
a94,b23
a27,b6
a95,b16
a69,b38
a87,b26
a22,b44
a13,b19
a18,b47
a55,b2
a1,b51
a51,b12
a41,b68
a2,b22
a41,b8
a96,b75
a13,b74
a41,b55
a60,b28
a63,b52
a99,b90
a22,b34
a8,b86
a49,b41
a23,b99
a45,b67
a1,b18
a93,b81
a82,b7
a27,b78
a78,b44
a56,b91
a80,b54
a64,b72
a14,b15
a55,b85
a59,b53
a49,b64
a29,b48
a76,b69
a73,b5
a65,b4
a67,b80
a57,b57
a36,b75
a6,b41
a19,b68
a59,b42
a32,b94
a79,b40
a60,b70
a51,b6
a16,b96
a62,b14
a29,b23
a83,b18
a14,b13
a65,b32
a33,b8
a23,b4
a91,b43
a32,b66
a44,b58
a26,b68
a1,b54
a25,b62
a35,b82
a30,b9
a56,b96
a62,b30
a9,b63
a7,b98
a70,b8
a19,b46
a22,b12
a42,b4
a44,b28
a36,b15
a53,b23
a78,b49
a3,b87
a78,b59
a62,b9
a11,b83
a80,b40
a93,b25
a55,b48
a1,b43
a80,b35
a84,b77
a26,b88
a21,b88
a74,b59
a35,b14
a78,b79
a25,b1
a8,b88
a26,b94
a91,b46
a39,b98
a52,b25
a18,b9
a80,b34
a54,b47
a78,b52
a35,b58
a17,b64
a15,b12
a44,b65
a90,b53
a30,b63
a36,b10
a86,b82
a58,b28
a61,b49
a25,b95
a52,b76
a28,b57
a81,b8
a46,b53
a42,b36
a74,b56
a84,b34
a37,b84
a88,b1
a52,b47
a16,b75
a32,b49
a53,b35
a43,b13
a98,b75
a13,b69
a84,b12
a58,b26
a2,b47
a3,b92
a75,b85
a89,b44
a2,b85
a81,b19
a46,b21
a59,b64
a40,b61
a85,b83
a77,b7
a28,b2
a50,b55
a29,b83
a69,b89
a14,b7
a83,b51
a83,b27
a26,b63
a47,b18
a12,b94
a10,b0
a21,b83
a89,b79
a94,b32
a84,b93
a60,b99
a15,b55
a59,b19
a13,b44
a71,b68
a14,b99
a12,b38
a15,b8
a72,b30
a16,b84
a11,b65
a65,b39
a37,b45
a99,b31
a31,b75
a75,b57
a21,b71
a13,b58
a17,b13
a64,b19
a18,b72
a67,b22
a15,b52
a1,b29
a19,b14
a91,b48
a20,b37
a67,b79
a3,b51
a14,b63
a38,b69
a82,b97
a99,b5
a38,b10
a27,b33
a68,b14
a84,b53
a42,b62
a26,b83
a71,b17
a72,b64
a12,b50
a80,b38
a34,b94
a76,b33
a28,b47
a10,b54
a45,b83
a55,b42
a57,b14
a6,b39
a67,b7
a20,b67
a48,b70
a41,b51
a28,b86
a12,b91
a47,b4
a40,b46
a61,b29
a67,b62
a93,b1
a47,b52
a75,b13
a0,b88
a75,b45
a76,b88
a47,b38
a26,b77
a23,b63
a15,b66
a97,b96
a44,b6
a11,b27
a32,b75
a34,b54
a82,b47
a51,b11
a36,b73
a87,b12
a10,b50
a28,b32
a40,b19
a19,b36
a82,b36
a7,b97
a62,b6
a50,b79
a10,b70
a17,b43
a81,b91
a2,b78
a87,b96
a27,b74
a69,b0
a94,b61
a53,b42
a86,b80
a9,b22
a10,b56
a17,b48
a96,b57
a86,b55
a15,b56
a40,b94
a93,b9
a14,b45
a85,b70
a91,b14
a50,b39
a88,b83
a71,b14
a27,b12
a53,b41
a68,b17
a15,b19
a35,b60
a52,b4
a25,b86
a89,b63
a63,b55
a65,b99
a70,b95
a21,b98
a74,b41
a44,b20
a83,b44
a48,b75
a66,b87
a49,b57
a73,b75
a59,b45
a98,b74
a18,b61
a41,b11
a89,b62
a29,b80
a93,b52
a32,b8
a32,b48
a31,b91
a27,b55
a79,b8
a71,b23
a52,b67
a58,b49
a62,b15
a96,b79
a13,b86
a39,b64
a19,b4
a89,b45
a72,b20
a70,b62
a19,b57
a97,b45
a38,b12
a31,b19
a27,b25
a68,b94
a15,b20
a97,b24
a74,b21
a47,b88
a41,b46
a13,b91
a37,b77
a93,b33
a14,b31
a45,b2
a32,b85
a37,b36
a32,b71
a16,b33
a34,b3
a36,b35
a65,b19
a69,b16
a78,b11
a69,b93
a96,b84
a89,b75
a99,b81
a33,b39
a6,b54
a83,b69
a29,b61
a57,b87
a93,b27
a81,b64
a34,b72
a93,b44
a29,b9
a70,b14
a73,b84
a95,b9
a38,b0
a13,b72
a15,b24
a47,b39
a45,b18
a7,b85
a18,b3
a52,b73
a18,b87
a66,b69
a9,b55
a67,b86
a23,b11
a67,b88
a45,b78
a90,b13
a53,b17
a62,b24
a10,b88
a71,b71
a11,b17
a38,b32
a42,b28
a89,b34
a19,b69
a19,b54
a2,b77
a62,b75
a87,b73
a78,b78
a40,b21
a11,b98
a66,b20
a4,b13
a14,b38
a53,b4
a19,b23
a88,b77
a98,b96
a0,b47
a8,b27
a50,b29
a52,b44
a44,b50
a30,b33
a92,b42
a66,b86
a45,b58
a83,b30
a53,b22
a25,b19
a27,b32
a57,b61
a28,b42
a23,b30
a86,b83
a78,b33
a76,b66
a73,b32
a23,b39
a29,b8
a38,b65
a42,b94
a92,b26
a86,b4
a31,b69
a11,b10
a87,b97
a64,b31
a56,b27
a5,b53
a47,b85
a45,b8
a17,b53
a85,b29
a43,b26
a48,b36
a71,b75
a94,b8
a60,b1
a6,b63
a4,b48
a8,b54
a20,b18
a8,b26
a28,b40
a43,b17
a91,b40
a30,b17
a89,b86
a85,b58
a47,b47
a93,b15
a34,b18
a9,b23
a92,b44
a86,b6
a15,b39
a41,b23
a35,b67
a72,b56
a97,b67
a10,b83
a97,b86
a64,b23
a20,b42
a81,b72
a61,b76
a58,b44
a77,b62
a24,b18
a60,b86
a3,b56
a97,b74
a51,b69
a6,b36
a20,b5
a22,b51
a94,b27
a2,b3
a28,b54
a63,b78
a83,b8
a59,b3
a23,b43
a1,b21
a38,b5
a43,b33
a79,b95
a74,b74
a54,b69
a75,b58
a32,b42
a62,b29
a86,b79
a84,b20
a59,b65
a97,b21
a30,b71
a74,b51
a20,b89
a43,b36
a81,b12
a0,b44
a95,b65
a83,b48
a87,b0
a84,b63
a51,b34
a80,b72
a59,b7
a11,b40
a63,b81
a61,b7
a82,b18
a3,b35
a68,b56
a6,b10
a35,b6
a30,b74
a51,b5
a32,b24
a13,b54
a45,b71
a7,b9
a62,b61
a40,b85
a64,b64
a43,b25
a88,b57
a38,b85
a16,b87
a91,b35
a38,b22
a15,b60
a38,b91
a31,b5
a2,b65
a84,b43
a60,b82
a78,b86
a51,b82
a8,b85
a20,b14
a33,b36
a49,b39
a32,b23
a78,b88
a99,b97
a33,b90
a79,b83
a16,b95
a93,b85
a7,b55
a52,b98
a50,b96
a0,b72
a33,b63
a81,b62
a28,b49
a91,b45
a5,b2
a29,b29
a83,b79
a99,b15
a88,b19
a66,b55
a40,b59
a34,b88
a23,b3
a82,b34
a87,b98
a13,b42
a42,b6
a3,b37
a68,b74
a79,b38
a59,b99
a7,b42
a13,b35
a27,b66
a62,b8
a4,b12
a90,b68
a6,b60
a96,b95
a67,b31
a36,b25
a74,b46
a30,b55
a8,b43
a37,b67
a81,b68
a53,b27
a52,b30
a60,b10
a15,b54
a87,b53
a97,b80
a71,b82
a64,b32
a75,b69
a53,b1
a67,b11
a24,b23
a98,b7
a78,b19
a34,b92
a74,b93
a40,b34
a98,b82
a5,b90
a7,b58
a13,b60
a24,b32
a7,b70
a9,b0
a88,b78
a56,b16
a73,b95
a31,b51
a87,b78
a52,b5
a11,b90
a31,b7
a73,b60
a51,b2
a49,b9
a93,b59
a79,b13
a26,b31
a94,b62
a75,b40
a81,b15
a42,b38
a2,b28
a92,b65
a73,b52
a94,b51
a4,b11
a90,b34
a57,b26
a46,b84
a57,b55
a40,b27
a52,b38
a79,b98
a11,b58
a94,b60
a58,b84
a48,b86
a64,b51
a85,b9
a94,b29
a92,b77
a76,b83
a55,b27
a83,b38
a28,b76
a98,b10
a69,b75
a93,b43
a72,b91
a50,b2
a53,b44
a98,b54
a78,b48
a28,b50
a38,b25
a95,b55
a7,b63
a74,b6
a27,b83
a50,b8
a75,b91
a91,b97
a43,b95
a46,b74
a32,b90
a87,b71
a52,b69
a20,b3
a17,b96
a99,b74
a41,b93
a65,b2
a35,b96
a72,b43
a41,b21
a80,b63
a84,b62
a37,b53
a86,b18
a12,b77
a6,b58
a59,b67
a71,b56
a72,b2
a6,b9
a1,b38
a46,b27
a48,b90
a35,b18
a45,b74
a68,b65
a3,b69
a47,b50
a84,b51
a19,b39
a80,b78
a31,b26
a22,b3
a15,b10
a81,b3
a94,b24
a33,b2
a62,b7
a89,b74
a3,b85
a37,b42
a27,b79
a90,b46
a89,b41
a43,b27
a60,b89
a40,b3
a36,b77
a64,b45
a28,b70
a28,b77
a19,b82
a43,b56
a55,b22
a23,b75
a86,b97
a21,b60
a45,b77
a90,b44
a40,b28
a61,b46
a7,b29
a63,b91
a85,b6
a89,b95
a8,b98
a87,b69
a74,b3
a12,b41
a5,b75
a45,b97
a62,b76
a68,b49
a8,b13
a53,b2
a89,b78
a22,b70
a34,b5
a85,b19
a41,b6
a71,b2
a45,b31
a46,b0
a31,b37
a38,b33
a1,b2
a46,b39
a53,b75
a22,b14
a20,b12
a65,b24
a39,b69
a84,b56
a88,b91
a52,b49
a46,b64
a33,b59
a73,b68
a28,b36
a2,b37
a38,b50
a4,b82
a5,b79
a58,b36
a66,b24
a47,b71
a87,b59
a88,b47
a64,b70
a29,b74
a83,b24
a31,b68
a42,b69
a54,b65
a4,b37
a66,b45
a9,b68
a14,b1
a18,b49
a91,b81
a96,b14
a55,b75
a97,b69
a75,b7
a74,b90
a22,b8
a31,b86
a63,b27
a57,b83
a69,b43
a73,b80
a78,b2
a1,b28
a92,b84
a27,b77
a9,b31
a42,b22
a71,b66
a23,b33
a24,b92
a28,b97
a21,b7
a44,b4
a92,b91
a40,b81
a0,b87
a5,b72
a38,b49
a84,b32
a49,b91
a82,b23
a53,b63
a83,b4
a30,b75
a35,b34
a10,b8
a88,b30
a48,b37
a85,b89
a15,b81
a80,b88
a40,b63
a0,b7
a52,b62
a75,b49
a15,b67
a32,b6
a14,b3
a46,b77
a18,b75
a82,b77
a23,b26
a64,b1
a63,b84
a30,b57
a24,b62
a92,b5
a9,b69
a4,b16
a24,b49
a59,b28
a55,b79
a48,b95
a20,b97
a46,b92
a8,b18
a35,b20
a78,b4
a3,b30
a18,b11
a91,b5
a77,b4
a75,b14
a29,b36
a23,b24
a55,b25
a9,b81
a66,b21
a9,b21
a68,b48
a52,b19
a48,b72
a12,b49
a0,b60
a39,b5
a78,b3
a24,b42
a75,b50
a37,b69
a36,b85
a16,b20
a49,b90
a47,b90
a13,b83
a5,b33
a36,b38
a37,b31
a96,b12
a89,b93
a80,b50
a32,b14
a71,b15
a94,b53
a75,b77
a86,b73
a73,b35
a73,b18
a33,b51
a63,b72
a11,b16
a99,b99
a55,b80
a74,b35
a26,b41
a77,b49
a24,b34
a57,b85
a23,b46
a64,b88
a69,b33
a71,b77
a43,b93
a0,b14
a0,b80
a42,b82
a55,b91
a22,b92
a59,b60
a86,b53
a34,b40
a71,b50
a30,b40
a92,b94
a59,b68
a87,b79
a25,b16
a78,b76
a20,b87
a52,b23
a24,b73
a86,b86
a45,b82
a7,b47
a12,b4
a17,b58
a86,b32
a87,b32
a70,b58
a47,b14
a7,b82
a82,b3
a60,b29
a12,b3
a75,b20
a8,b20
a68,b44
a16,b11
a77,b89
a44,b15
a83,b93
a47,b54
a70,b81
a74,b30
a6,b86
a69,b41
a36,b56
a99,b36
a81,b54
a59,b27
a1,b56
a60,b33
a65,b20
a65,b34
a7,b68
a16,b46
a77,b46
a93,b37
a77,b64
a61,b50
a87,b61
a45,b10
a15,b5
a89,b51
a68,b10
a86,b19
a56,b19
a72,b54
a29,b97
a18,b56
a83,b37
a39,b47
a49,b27
a0,b21
a61,b18
a17,b14
a95,b93
a8,b72
a27,b42
a77,b6
a36,b6
a42,b90
a18,b54
a99,b9
a13,b70
a4,b83
a42,b60
a51,b97
a26,b5
a77,b22
a38,b39
a53,b26
a9,b53
a20,b58
a79,b23
a41,b7
a92,b53
a5,b64
a69,b65
a69,b36
a31,b21
a70,b66
a76,b95
a33,b97
a31,b43
a28,b59
a8,b15
a65,b12
a29,b21
a31,b53
a63,b82
a62,b46
a25,b47
a77,b31
a89,b64
a78,b98
a77,b55
a52,b46
a15,b82
a32,b45
a71,b34
a88,b86
a49,b87
a82,b5
a40,b72
a12,b22
a38,b75
a48,b81
a14,b89
a18,b81
a10,b68
a32,b99
a97,b62
a28,b12
a8,b45
a89,b60
a25,b37
a54,b35
a39,b93
a61,b3
a26,b81
a72,b99
a24,b1
a15,b53
a95,b77
a70,b1
a30,b58
a59,b76
a62,b40
a40,b4
a66,b53
a56,b45
a33,b17
a46,b79
a96,b87
a73,b15
a80,b11
a22,b71
a83,b12
a64,b11
a22,b52
a78,b20
a38,b40
a73,b37
a37,b10
a82,b4
a60,b16
a99,b40
a20,b66
a67,b52
a65,b95
a91,b88
a77,b72
a97,b56
a11,b18
a95,b6
a20,b99
a59,b21
a72,b73
a35,b80
a99,b78
a42,b13
a42,b53
a70,b48
a8,b44
a34,b82
a98,b85
a75,b97
a85,b23
a52,b42
a66,b83
a26,b54
a59,b5
a32,b7
a86,b59
a17,b76
a68,b69
a74,b62
a80,b20
a60,b84
a89,b96
a63,b74
a26,b82
a21,b54
a29,b11
a16,b45
a11,b30
a36,b82
a92,b68
a99,b44
a55,b58
a3,b59
a58,b64
a41,b72
a89,b18
a19,b5
a67,b49
a72,b45
a4,b70
a85,b28
a44,b3
a10,b40
a14,b39
a17,b7
a75,b87
a79,b48
a43,b22
a23,b13
a43,b1
a56,b97
a98,b29
a23,b92
a10,b25
a24,b48
a40,b60
a98,b11
a94,b38
a5,b57
a62,b45
a11,b60
a8,b38
a76,b43
a21,b42
a25,b28
a15,b58
a38,b56
a9,b75
a87,b40
a26,b11
a53,b65
a4,b6
a76,b53
a9,b52
a93,b76
