c,d
c75,d65
c39,d45
c17,d13
c8,d84
c8,d98
c16,d85
c75,d41
c2,d51
c48,d87
c65,d56
c4,d23
c60,d52
c76,d83
c75,d81
c13,d81
c76,d12
c8,d28
c7,d22
c22,d18
c76,d8
c78,d73
c91,d97
c24,d25
c76,d46
c52,d68
c29,d60
c17,d68
c35,d52
c51,d51
c98,d47
c41,d51
c30,d40
c71,d19
c39,d54
c76,d81
c89,d34
c52,d61
c28,d50
c6,d88
c62,d31
c26,d90
c8,d43
c16,d18
c31,d56
c60,d98
c2,d56
c49,d42
c90,d87
c78,d41
c80,d90
c23,d2
c27,d67
c68,d25
c50,d37
c4,d42
c0,d21
c31,d98
c61,d71
c21,d65
c70,d66
c74,d97
c31,d69
c48,d3
c19,d82
c76,d5
c31,d11
c85,d40
c79,d37
c89,d94
c15,d56
c79,d82
c79,d95
c78,d60
c62,d76
c60,d31
c48,d8
c78,d97
c34,d53
c47,d76
c69,d24
c18,d64
c63,d5
c77,d1
c14,d12
c16,d60
c92,d9
c87,d90
c8,d16
c32,d79
c53,d87
c26,d82
c64,d98
c78,d21
c99,d25
c97,d77
c3,d67
c92,d17
c57,d67
c30,d50
c85,d78
c85,d19
c54,d36
c58,d0
c70,d28
c1,d21
c14,d95
c22,d26
c59,d80
c74,d17
c40,d17
c40,d30
c81,d54
c63,d98
c75,d78
c59,d83
c61,d26
c32,d43
c46,d75
c65,d60
c88,d8
c90,d83
c35,d98
c99,d32
c56,d35
c85,d70
c4,d8
c41,d70
c23,d55
c63,d89
c61,d84
c59,d93
c11,d88
c66,d30
c79,d85
c32,d69
c41,d77
c81,d95
c59,d43
c89,d84
c25,d63
c17,d36
c40,d99
c70,d1
c11,d49
c95,d1
c92,d23
c79,d66
c57,d21
c88,d69
c16,d36
c71,d12
c65,d71
c53,d82
c69,d31
c69,d15
c3,d78
c86,d19
c80,d85
c40,d58
c31,d72
c22,d28
c41,d73
c66,d25
c80,d35
c96,d97
c76,d37
c89,d67
c40,d22
c79,d71
c50,d21
c20,d29
c81,d70
c92,d62
c96,d5
c2,d44
c57,d87
c97,d5
c20,d59
c52,d58
c98,d87
c1,d6
c82,d30
c61,d89
c24,d85
c62,d8
c75,d69
c96,d11
c0,d52
c0,d6
c80,d34
c57,d47
c48,d81
c32,d61
c88,d92
c21,d18
c71,d55
c59,d22
c25,d18
c91,d35
c29,d17
c76,d60
c71,d64
c73,d26
c53,d17
c90,d17
c20,d50
c33,d46
c42,d21
c30,d94
c88,d72
c44,d11
c75,d77
c35,d97
c60,d61
c65,d7
c21,d73
c77,d48
c84,d22
c73,d12
c54,d76
c28,d99
c7,d81
c16,d93
c31,d80
c97,d45
c38,d7
c34,d88
c30,d42
c63,d23
c36,d58
c47,d29
c49,d14
c54,d5
c90,d76
c25,d30
c17,d34
c0,d56
c13,d13
c66,d43
c56,d93
c31,d0
c90,d68
c17,d56
c13,d54
c31,d36
c16,d47
c94,d31
c62,d21
c45,d27
c98,d19
c98,d90
c8,d75
c19,d41
c27,d10
c16,d19
c78,d0
c21,d53
c30,d14
c76,d73
c80,d65
c55,d13
c56,d23
c58,d62
c2,d74
c19,d57
c66,d85
c38,d49
c47,d2
c31,d30
c63,d47
c5,d89
c0,d12
c38,d59
c56,d29
c72,d76
c19,d69
c49,d23
c88,d95
c46,d68
c28,d12
c66,d7
c43,d11
c31,d78
c10,d56
c19,d75
c17,d84
c25,d68
c25,d53
c31,d94
c1,d27
c37,d25
c33,d68
c26,d30
c12,d15
c22,d74
c41,d15
c31,d95
c20,d12
c30,d1
c69,d82
c44,d97
c93,d32
c37,d43
c9,d93
c34,d67
c35,d30
c31,d49
c5,d65
c98,d3
c11,d89
c67,d26
c7,d29
c70,d85
c63,d34
c27,d77
c27,d30
c59,d7
c52,d7
c33,d96
c97,d70
c8,d33
c9,d14
c64,d47
c3,d74
c75,d96
c44,d78
c53,d54
c34,d54
c74,d13
c59,d68
c64,d46
c86,d77
c26,d52
c21,d0
c81,d67
c45,d55
c54,d88
c84,d53
c65,d33
c10,d88
c10,d75
c48,d5
c90,d45
c7,d32
c77,d58
c73,d74
c65,d84
c90,d8
c29,d66
c68,d34
c8,d63
c19,d84
c16,d12
c14,d0
c74,d36
c22,d49
c39,d30
c84,d90
c8,d72
c99,d37
c14,d53
c4,d33
c5,d44
c76,d80
c46,d1
c83,d54
c15,d49
c36,d75
c76,d63
c29,d81
c79,d97
c96,d89
c8,d70
c91,d27
c52,d39
c55,d17
c8,d7
c47,d42
c60,d48
c79,d26
c45,d62
c16,d35
c70,d36
c25,d27
c29,d79
c29,d73
c29,d46
c75,d45
c82,d24
c75,d79
c24,d81
c37,d89
c95,d61
c46,d97
c32,d3
c95,d69
c67,d91
c2,d98
c89,d80
c53,d69
c57,d65
c68,d70
c96,d56
c8,d21
c56,d25
c12,d84
c82,d3
c92,d13
c28,d36
c20,d39
c16,d58
c61,d31
c19,d19
c68,d48
c38,d53
c80,d67
c24,d80
c4,d27
c68,d84
c84,d56
c56,d14
c57,d30
c79,d36
c16,d2
c94,d40
c3,d82
c98,d30
c76,d75
c70,d34
c52,d69
c41,d54
c93,d81
c48,d75
c77,d11
c91,d34
c89,d72
c2,d15
c49,d69
c10,d81
c92,d84
c40,d86
c95,d35
c32,d39
c11,d59
c20,d74
c51,d45
c4,d1
c72,d70
c10,d73
c6,d72
c37,d28
c87,d42
c77,d65
c32,d59
c72,d46
c86,d16
c86,d34
c59,d79
c33,d56
c18,d89
c53,d80
c2,d17
c31,d19
c52,d90
c33,d13
c28,d89
c70,d8
c58,d52
c30,d71
c18,d46
c91,d11
c31,d67
c90,d21
c45,d53
c14,d39
c77,d92
c31,d83
c62,d46
c52,d96
c12,d35
c74,d31
c1,d51
c25,d61
c36,d88
c25,d69
c93,d91
c35,d48
c96,d58
c22,d19
c59,d26
c86,d68
c58,d36
c38,d3
c66,d68
c13,d64
c65,d17
c17,d70
c56,d58
c52,d97
c23,d70
c19,d79
c69,d73
c12,d12
c99,d34
c37,d93
c59,d56
c84,d41
c78,d74
c15,d94
c76,d43
c7,d74
c1,d10
c20,d30
c41,d44
c4,d40
c61,d47
c43,d25
c16,d55
c2,d38
c52,d88
c16,d6
c64,d22
c83,d64
c39,d19
c12,d58
c25,d70
c33,d2
c64,d43
c2,d88
c7,d9
c54,d23
c77,d37
c87,d8
c29,d32
c76,d62
c29,d92
c0,d36
c13,d6
c26,d16
c10,d7
c34,d47
c95,d29
c51,d74
c55,d6
c30,d0
c24,d0
c38,d62
c0,d81
c28,d57
c87,d48
c30,d46
c78,d39
c64,d57
c90,d63
c37,d63
c58,d22
c92,d99
c71,d21
c68,d99
c58,d80
c63,d36
c55,d59
c72,d12
c2,d26
c93,d33
c42,d80
c72,d39
c95,d68
c21,d29
c31,d93
c4,d26
c77,d42
c43,d48
c85,d34
c12,d64
c77,d73
c69,d7
c32,d50
c23,d95
c98,d46
c11,d31
c32,d62
c96,d25
c98,d5
c97,d8
c98,d34
c86,d83
c83,d16
c23,d87
c24,d73
c80,d54
c11,d51
c35,d10
c79,d90
c5,d51
c74,d60
c24,d16
c11,d84
c86,d70
c91,d83
c17,d99
c59,d46
c19,d83
c81,d92
c70,d94
c92,d63
c65,d52
c0,d50
c75,d46
c57,d0
c59,d71
c16,d53
c52,d4
c92,d44
c85,d59
c79,d63
c79,d59
c73,d1
c37,d27
c62,d91
c34,d22
c45,d4
c53,d62
c73,d47
c26,d7
c96,d57
c3,d25
c30,d31
c73,d22
c70,d15
c0,d62
c48,d96
c24,d53
c62,d44
c31,d31
c38,d92
c26,d36
c76,d79
c56,d66
c5,d66
c53,d38
c76,d99
c5,d22
c84,d34
c81,d32
c17,d75
c66,d90
c83,d75
c47,d82
c78,d14
c19,d61
c39,d67
c12,d56
c3,d13
c63,d42
c62,d60
c54,d15
c44,d31
c86,d86
c24,d87
c67,d31
c6,d40
c8,d32
c97,d56
c69,d91
c95,d86
c5,d38
c10,d18
c30,d88
c94,d74
c67,d43
c76,d28
c99,d68
c55,d65
c65,d93
c59,d60
c17,d80
c76,d49
c1,d57
c15,d98
c76,d52
c5,d30
c81,d91
c3,d14
c53,d19
c77,d8
c12,d21
c57,d2
c4,d48
c79,d28
c98,d27
c66,d42
c80,d23
c64,d19
c28,d28
c43,d0
c33,d75
c21,d98
c49,d27
c8,d45
c16,d86
c56,d45
c30,d48
c65,d41
c78,d44
c88,d23
c11,d6
c80,d47
c94,d5
c24,d23
c42,d77
c71,d63
c34,d66
c70,d0
c94,d71
c48,d55
c90,d30
c62,d81
c86,d10
c59,d33
c45,d36
c3,d28
c59,d3
c63,d25
c56,d77
c43,d3
c76,d68
c88,d43
c30,d84
c51,d56
c64,d62
c36,d52
c37,d13
c10,d50
c62,d5
c14,d33
c18,d96
c72,d82
c11,d42
c77,d6
c29,d14
c58,d30
c38,d4
c97,d49
c83,d93
c52,d47
c81,d0
c87,d34
c40,d91
c68,d9
c99,d88
c91,d17
c58,d28
c69,d13
c54,d95
c48,d27
c67,d96
c4,d83
c89,d98
c54,d61
c51,d21
c97,d7
c33,d29
c27,d86
c39,d70
c96,d43
c14,d54
c81,d61
c84,d99
c38,d32
c40,d85
c75,d15
c90,d82
c98,d31
c14,d86
c97,d9
c45,d60
c39,d24
c60,d19
c60,d70
c0,d68
c34,d37
c97,d65
c30,d98
c18,d77
c58,d65
c10,d65
c96,d76
c60,d65
c19,d99
c3,d45
c31,d33
c86,d9
c64,d1
c98,d2
c12,d11
c15,d90
c32,d49
c41,d43
c41,d10
c68,d78
c24,d27
c0,d8
c55,d16
c82,d69
c92,d8
c30,d39
c78,d16
c26,d81
c0,d45
c18,d8
c15,d83
c8,d99
c18,d60
c65,d44
c48,d23
c93,d59
c89,d6
c22,d76
c82,d75
c67,d46
c45,d48
c40,d38
c18,d15
c40,d45
c31,d39
c9,d19
c8,d26
c7,d0
c73,d15
c58,d54
c86,d21
c32,d46
c94,d78
c51,d50
c3,d8
c70,d75
c94,d33
c82,d21
c97,d94
c6,d65
c13,d9
c54,d17
c30,d34
c89,d58
c88,d46
c67,d12
c95,d85
c42,d53
c57,d55
c94,d49
c95,d38
c24,d52
c51,d63
c41,d0
c37,d95
c26,d24
c74,d81
c8,d19
c71,d7
c49,d29
c20,d18
c99,d40
c69,d69
c11,d37
c94,d3
c79,d23
c0,d33
c81,d36
c9,d45
c29,d50
c64,d69
c67,d89
c31,d63
c82,d71
c45,d26
c56,d97
c87,d64
c53,d86
c31,d41
c72,d87
c12,d88
c89,d14
c57,d35
c13,d24
c7,d63
c49,d25
c11,d47
c46,d25
c83,d26
c80,d84
c49,d38
c14,d29
c36,d92
c76,d13
c22,d93
c57,d61
c94,d95
c83,d84
c87,d94
c10,d62
c34,d65
c86,d15
c52,d62
c19,d87
c38,d61
c93,d15
c43,d59
c20,d79
c61,d86
c47,d71
c23,d23
c61,d68
c78,d61
c23,d40
c6,d0
c39,d55
c12,d49
c17,d28
c93,d69
c80,d7
c58,d38
c96,d7
c81,d97
c35,d55
c88,d3
c1,d31
c98,d58
c3,d51
c90,d47
c74,d99
c21,d2
c88,d87
c50,d32
c46,d60
c47,d77
c16,d64
c86,d72
c85,d50
c49,d68
c18,d28
c7,d10
c71,d33
c52,d76
c4,d29
c14,d4
c17,d83
c70,d37
c44,d79
c67,d86
c28,d90
c81,d31
c12,d85
c6,d58
c79,d75
c75,d42
c60,d87
c66,d53
c36,d99
c26,d85
c82,d8
c66,d12
c4,d80
c20,d82
c16,d73
c35,d41
c66,d32
c34,d82
c52,d66
c98,d99
c19,d15
c40,d0
c76,d33
c11,d68
c68,d82
c45,d35
c7,d43
c51,d7
c18,d32
c97,d54
c97,d10
c73,d80
c60,d42
c12,d77
c15,d92
c78,d6
c47,d59
c8,d69
c71,d60
c82,d40
c24,d24
c20,d64
c16,d95
c82,d80
c25,d52
c58,d87
c1,d87
c42,d68
c80,d38
c72,d83
c49,d48
c91,d23
c35,d60
c36,d47
c15,d75
c27,d0
c58,d43
c83,d13
c28,d13
c81,d4
c80,d9
c49,d35
c35,d8
c58,d21
c27,d76
c83,d23
c76,d16
c43,d45
c16,d50
c69,d49
c94,d19
c87,d7
c3,d95
c81,d16
c53,d21
c58,d11
c80,d49
c31,d55
c42,d20
c70,d61
c68,d64
c47,d22
c3,d33
c54,d85
c3,d31
c48,d31
c19,d12
c10,d0
c67,d39
c66,d96
c78,d68
c2,d80
c37,d73
c74,d87
c45,d56
c37,d8
c18,d38
c23,d46
c85,d21
c70,d69
c59,d61
c67,d55
c56,d63
c32,d81
c62,d50
c73,d3
c27,d36
c37,d74
c77,d57
c4,d31
c97,d53
c84,d80
c59,d73
c89,d57
c93,d19
c85,d20
c64,d42
c59,d69
c93,d28
c63,d32
c33,d45
c80,d83
c25,d25
c2,d96
c56,d6
c23,d86
c76,d76
c1,d75
c51,d69
c82,d52
c47,d36
c30,d92
c76,d4
c20,d89
c34,d21
c33,d90
c75,d64
c31,d6
c22,d57
c25,d57
c11,d53
c49,d9
c46,d52
c66,d74
c68,d30
c10,d80
c13,d42
c3,d93
c71,d86
c24,d6
c74,d67
c63,d81
c76,d88
c2,d87
c56,d28
c54,d30
c93,d39
c14,d40
c36,d42
c92,d98
c92,d4
c18,d34
c53,d78
c62,d99
c93,d94
c47,d24
c99,d13
c35,d79
c23,d59
c54,d4
c28,d9
c57,d53
c22,d45
c29,d36
c6,d12
c17,d4
c99,d43
c58,d53
c76,d53
c30,d17
c36,d35
c35,d23
c55,d29
c59,d0
c71,d53
c66,d60
c14,d51
c91,d14
c10,d52
c54,d80
c89,d53
c4,d81
c19,d30
c83,d48
c29,d48
c29,d37
c20,d40
c97,d67
c77,d88
c83,d21
c45,d66
c9,d1
c1,d43
c34,d90
c54,d75
c99,d35
c60,d56
c74,d90
c54,d47
c65,d35
c23,d98
c60,d64
c2,d7
c79,d38
c1,d95
c8,d42
c20,d7
c7,d30
c37,d83
c74,d58
c94,d14
c50,d69
c76,d36
c80,d72
c43,d24
c3,d55
c28,d22
c31,d2
c15,d16
c0,d72
c35,d85
c7,d50
c26,d42
c75,d48
c39,d61
c5,d14
c84,d50
c79,d17
c16,d78
c4,d77
c55,d4
c91,d24
c64,d84
c55,d75
c42,d48
c96,d90
c31,d12
c67,d98
c12,d52
c45,d24
c62,d40
c66,d26
c67,d74
c25,d66
c89,d79
c81,d25
c58,d1
c24,d62
c53,d37
c80,d22
c82,d92
c61,d40
c66,d3
c35,d34
c11,d76
c49,d79
c3,d42
c96,d0
c63,d31
c43,d14
c72,d94
c65,d27
c43,d15
c82,d38
c96,d22
c91,d29
c91,d48
c51,d89
c61,d49
c10,d39
c59,d21
c42,d93
c89,d68
c82,d81
c80,d50
c39,d6
c23,d76
c47,d52
c58,d85
c22,d83
c68,d29
c35,d51
c61,d25
c80,d48
c5,d77
c58,d69
c57,d79
c70,d24
c62,d53
c87,d74
c8,d86
c95,d19
c19,d64
c76,d64
c45,d52
c12,d54
c39,d82
c15,d3
c23,d22
c10,d49
c84,d8
c2,d52
c11,d0
c54,d98
c37,d67
c78,d72
c54,d20
c57,d63
c76,d51
c43,d86
c49,d93
c82,d85
c1,d92
c32,d11
c82,d76
c52,d59
c24,d79
c1,d81
c22,d67
c30,d44
c75,d0
c60,d2
c90,d56
c83,d60
c9,d83
c58,d26
c61,d0
c65,d4
c31,d79
c50,d95
c11,d20
c93,d6
c26,d1
c62,d94
c91,d32
c11,d92
c3,d92
c51,d16
c40,d59
c13,d28
c81,d94
c22,d15
c50,d70
c56,d22
c68,d67
c41,d33
c26,d57
c22,d39
c27,d15
c33,d63
c14,d60
c93,d45
c89,d3
c86,d23
c45,d40
c63,d83
c7,d15
c22,d58
c44,d67
c74,d27
c37,d15
c30,d25
c92,d34
c87,d76
c72,d3
c21,d55
c27,d13
c58,d88
c81,d47
c57,d4
c83,d56
c3,d57
c62,d66
c55,d10
c33,d19
c65,d95
c34,d92
c4,d92
c63,d4
c2,d41
c18,d54
c59,d37
c15,d41
c75,d56
c45,d64
c66,d75
c44,d33
c67,d22
c47,d31
c36,d83
c9,d4
c67,d57
c12,d67
c92,d43
c86,d25
c8,d34
c58,d32
c76,d86
c22,d90
c63,d77
c42,d78
c22,d43
c14,d83
c94,d0
c55,d7
c59,d76
c10,d89
c6,d49
c48,d6
c30,d38
c87,d47
c50,d15
c30,d73
c99,d92
c8,d29
c5,d74
c41,d17
c86,d0
c26,d33
c93,d4
c42,d64
c14,d99
c17,d66
c44,d86
c29,d75
c94,d9
c55,d3
c51,d5
c43,d85
c66,d58
c51,d33
c36,d70
c40,d24
c3,d62
c59,d51
c73,d19
c57,d17
c35,d88
c37,d21
c76,d34
c30,d10
c69,d85
c22,d68
c59,d57
c45,d54
c79,d92
c5,d92
c46,d69
c54,d57
c87,d37
c9,d12
c18,d79
c98,d73
c69,d10
c67,d59
c36,d39
c26,d44
c69,d42
c94,d69
c31,d42
c6,d68
c60,d24
c20,d4
c7,d87
c35,d94
c46,d98
c49,d52
c14,d3
c8,d30
c94,d44
c9,d53
c61,d22
c20,d78
c19,d93
c27,d6
c65,d69
c21,d76
c98,d81
c2,d55
c65,d8
c79,d96
c43,d7
c50,d96
c69,d79
c9,d3
c98,d48
c49,d72
c0,d20
c7,d19
c82,d97
c59,d63
c31,d8
c36,d20
c64,d24
c0,d34
c61,d74
c62,d84
c1,d7
c11,d99
c35,d67
c26,d69
c21,d31
c47,d72
c29,d3
c43,d93
c99,d5
c2,d71
c32,d5
c84,d0
c6,d47
c31,d89
c99,d62
c30,d21
c76,d14
c84,d89
c63,d21
c86,d1
c94,d58
c49,d98
c75,d97
c10,d84
c28,d75
c60,d35
c83,d27
c91,d55
c84,d57
c16,d77
c86,d98
c80,d26
c42,d97
c53,d32
c7,d6
c41,d55
c7,d73
c3,d15
c14,d7
c38,d69
c25,d90
c90,d75
c27,d95
c49,d5
c14,d41
c72,d52
c63,d69
c48,d37
c58,d75
c20,d57
c16,d65
c62,d93
c71,d92
c61,d36
c60,d58
c38,d28
c8,d47
c78,d23
c0,d18
c37,d41
c67,d34
c97,d78
c7,d67
c59,d27
c1,d39
c90,d72
c54,d38
c9,d26
c85,d30
c3,d76
c30,d77
c93,d67
c61,d3
c24,d5
c41,d24
c20,d20
c98,d44
c72,d48
c89,d19
c64,d70
c78,d76
c12,d91
c94,d30
c77,d53
c78,d42
c70,d72
c90,d48
c18,d80
c66,d77
c61,d81
c43,d98
c57,d8
c51,d20
c35,d33
c43,d78
c17,d16
c53,d3
c47,d5
c75,d85
c20,d25
c63,d70
c59,d30
c97,d33
c36,d54
c58,d60
c24,d94
c91,d76
c29,d98
c77,d80
c69,d11
c13,d68
c35,d13
c40,d51
c13,d75
c69,d61
c51,d15
c90,d24
c49,d84
c69,d70
c83,d47
c19,d48
c85,d17
c7,d14
c2,d23
c6,d80
c29,d71
c6,d61
c47,d95
c95,d2
c80,d73
c83,d36
c46,d78
c39,d94
c28,d92
c25,d5
c62,d2
c27,d14
c60,d46
c95,d44
c32,d36
c42,d49
c31,d76
c57,d86
c21,d30
c10,d90
c56,d72
c70,d41
c21,d91
c48,d94
c6,d91
c78,d12
c36,d9
c35,d22
c42,d92
c56,d48
c83,d41
c7,d38
c11,d36
c75,d60
c67,d66
c78,d17
c22,d66
c53,d52
c58,d67
c6,d92
c72,d62
c10,d59
c77,d98
c44,d68
c71,d20
c61,d20
c83,d74
c92,d54
c4,d24
c42,d57
c0,d35
c86,d80
c96,d65
c51,d58
c31,d24
c12,d66
c85,d49
c90,d26
c28,d63
c77,d95
c34,d39
c27,d34
c18,d88
c74,d85
c24,d57
c29,d12
c80,d71
c89,d29
c77,d29
c38,d1
c78,d87
c57,d34
c95,d10
c34,d95
c91,d6
c93,d3
c2,d49
c24,d88
c88,d35
c6,d94
c81,d38
c24,d69
c61,d43
c47,d55
c84,d61
c81,d87
c12,d30
c13,d20
c66,d64
c6,d51
c62,d47
c41,d12
c64,d10
c50,d17
c94,d94
c14,d69
c85,d22
c81,d66
c1,d20
c36,d13
c30,d55
c56,d27
c19,d78
c65,d88
c19,d17
c15,d96
c97,d74
c73,d71
c95,d22
c83,d79
c97,d27
c43,d68
c23,d27
c31,d45
c22,d32
c1,d52
c51,d61
c22,d41
c81,d15
c63,d37
c47,d38
c75,d27
c95,d8
c52,d51
c62,d90
c34,d49
c78,d53
c22,d99
c74,d37
c60,d32
c41,d74
c93,d96
c39,d14
c54,d59
c56,d1
c5,d28
c29,d70
c17,d9
c39,d17
c36,d90
c32,d88
c5,d24
c13,d92
c0,d26
c37,d87
c62,d67
c59,d99
c22,d0
c32,d17
c52,d20
c31,d57
c14,d13
c25,d44
c50,d67
c45,d97
c41,d50
c67,d27
c5,d9
c57,d38
c6,d86
c35,d68
c71,d4
c47,d39
c49,d82
c41,d36
c69,d40
c68,d7
c74,d24
c79,d72
c24,d31
c1,d18
c52,d21
c27,d27
c64,d83
c10,d33
c25,d21
c19,d74
c44,d85
c65,d39
c96,d75
c3,d23
c73,d90
c22,d12
c29,d55
c89,d33
c46,d56
c78,d52
c22,d16
c76,d30
c55,d85
c40,d71
c97,d43
c40,d82
c63,d18
c47,d17
c5,d53
c0,d94
c23,d42
c92,d36
c62,d63
c66,d10
c17,d24
c52,d84
c82,d36
c29,d96
c36,d85
c51,d6
c87,d67
c15,d93
c25,d74
c2,d11
c10,d48
c10,d12
c33,d77
c93,d89
c31,d28
c22,d79
c99,d22
c50,d27
c83,d58
c32,d60
c6,d32
c41,d57
c2,d95
c39,d39
c87,d5
c61,d70
c77,d5
c12,d82
c33,d85
c33,d47
c64,d39
c83,d67
c62,d71
c41,d76
c50,d91
c37,d33
c16,d90
c15,d97
c50,d14
c99,d15
c94,d11
c82,d23
c82,d54
c59,d40
c3,d96
c36,d43
c73,d9
c89,d28
c98,d50
c97,d58
c12,d44
c39,d34
c61,d10
c44,d69
c66,d38
c21,d85
c64,d3
c20,d13
c62,d6
c95,d55
c65,d50
c18,d18
c38,d29
c93,d70
c17,d78
c3,d0
c87,d17
c0,d11
c32,d86
c27,d63
c77,d26
c17,d73
c28,d78
c1,d86
c16,d33
c46,d6
c90,d23
c88,d54
c23,d17
c37,d66
c91,d60
c55,d97
c98,d70
c18,d72
c58,d3
c9,d56
c52,d86
c25,d26
c65,d46
c42,d45
c38,d94
c92,d89
c14,d71
c57,d59
c40,d31
c26,d93
c80,d56
c24,d47
c11,d28
c1,d61
c37,d49
c38,d43
c65,d0
c34,d25
c17,d58
c28,d56
c14,d15
c13,d21
c83,d52
c25,d56
c70,d33
c61,d33
c34,d20
c9,d20
c88,d30
c97,d16
c58,d71
c65,d18
c47,d20
c26,d53
c33,d69
c1,d80
c90,d69
c6,d53
c26,d59
c34,d71
c88,d44
c23,d78
c58,d31
c98,d86
c98,d13
c60,d76
c20,d73
c43,d17
c83,d59
c63,d82
c97,d81
c13,d5
c12,d95
c28,d2
c84,d76
c9,d70
c36,d19
c69,d62
c86,d87
c25,d76
c50,d75
c83,d97
c41,d8
c5,d75
c59,d85
c89,d85
c56,d74
c16,d44
c28,d95
c22,d53
c67,d25
c34,d17
c72,d7
c84,d86
c74,d47
c54,d41
c8,d74
c87,d52
c29,d5
c11,d95
c20,d84
c79,d42
c21,d95
c68,d35
c87,d53
c11,d7
c40,d29
c65,d45
c11,d5
c64,d63
c96,d69
c27,d65
c74,d82
c27,d37
c80,d8
c60,d88
c18,d91
c4,d86
c15,d0
c61,d99
c9,d35
c4,d25
c29,d22
c26,d75
c52,d49
c26,d86
c8,d95
c64,d31
c3,d59
c34,d15
c94,d75
c15,d33
c20,d81
c69,d27
c96,d30
c86,d6
c28,d19
c35,d95
c55,d32
c97,d6
c80,d74
c22,d6
c22,d22
c75,d23
c10,d96
c24,d15
c20,d80
c46,d7
c75,d1
c55,d20
c91,d66
c93,d74
c79,d93
c45,d91
c34,d10
c9,d47
c59,d75
c19,d56
c44,d99
c55,d99
c61,d45
c44,d75
c27,d23
c90,d27
c52,d50
c42,d13
c16,d81
c64,d16
c32,d47
c99,d56
c58,d33
c20,d27
c78,d62
c59,d55
c88,d6
c84,d7
c40,d94
c15,d10
c29,d59
c49,d78
c18,d94
c14,d10
c26,d43
c57,d5
c3,d46
c43,d91
c55,d41
c49,d20
c39,d88
c42,d22
c5,d67
c23,d30
c84,d77
c0,d32
c67,d65
c57,d7
c32,d82
c28,d47
c15,d18
c90,d44
c66,d18
c12,d57
c14,d94
c47,d19
c58,d70
c12,d72
c64,d96
c38,d38
c35,d5
c88,d59
c34,d89
c61,d42
c42,d16
c96,d54
c49,d92
c67,d84
c23,d20
c29,d95
c37,d55
c61,d80
c13,d65
c40,d7
c74,d61
c95,d81
c86,d57
c71,d99
c90,d97
c72,d56
c64,d79
c46,d12
c25,d72
c34,d91
c28,d55
c79,d3
c73,d8
c15,d36
c8,d39
c6,d70
c6,d81
c46,d42
c8,d37
c24,d42
c21,d84
c96,d59
c97,d37
c10,d10
c84,d39
c35,d19
c97,d44
c89,d83
c94,d15
c37,d23
c90,d54
c32,d2
c33,d14
c61,d58
c88,d22
