b,c
b76,c81
b95,c30
b12,c82
b14,c5
b74,c6
b65,c23
b99,c13
b11,c29
b75,c67
b87,c97
b36,c19
b63,c19
b62,c15
b95,c27
b79,c17
b14,c0
b70,c50
b11,c99
b78,c96
b51,c22
b64,c29
b44,c13
b49,c39
b42,c61
b29,c30
b35,c93
b8,c91
b84,c35
b5,c80
b62,c87
b16,c87
b87,c17
b56,c0
b74,c43
b69,c65
b51,c25
b37,c88
b32,c19
b93,c30
b30,c20
b13,c57
b61,c88
b1,c27
b48,c61
b77,c40
b44,c55
b45,c54
b18,c41
b97,c84
b45,c63
b7,c57
b54,c3
b22,c45
b94,c96
b27,c49
b67,c98
b94,c79
b11,c21
b49,c16
b89,c6
b73,c14
b51,c80
b35,c57
b72,c23
b50,c9
b12,c88
b71,c17
b34,c17
b15,c28
b62,c17
b24,c72
b33,c35
b90,c80
b86,c52
b47,c77
b2,c2
b3,c60
b19,c38
b2,c49
b20,c24
b81,c15
b83,c43
b33,c14
b4,c66
b90,c52
b20,c81
b66,c99
b48,c44
b4,c68
b31,c50
b99,c23
b59,c84
b35,c75
b98,c85
b9,c27
b79,c86
b6,c89
b49,c43
b54,c35
b0,c3
b30,c1
b81,c82
b75,c70
b18,c8
b9,c23
b90,c17
b82,c90
b52,c71
b46,c91
b34,c95
b40,c73
b44,c37
b47,c14
b65,c89
b25,c9
b50,c30
b81,c96
b74,c70
b69,c80
b25,c77
b16,c31
b56,c37
b8,c59
b37,c20
b19,c41
b60,c80
b81,c84
b51,c0
b90,c72
b11,c38
b13,c60
b21,c45
b60,c32
b21,c60
b60,c73
b56,c48
b21,c6
b93,c65
b72,c14
b62,c79
b74,c32
b4,c75
b22,c99
b69,c81
b90,c37
b25,c66
b97,c88
b99,c10
b3,c64
b26,c44
b72,c1
b0,c42
b35,c87
b82,c88
b82,c81
b38,c23
b79,c99
b40,c43
b84,c6
b24,c19
b78,c43
b50,c45
b62,c35
b73,c45
b6,c43
b77,c51
b75,c10
b38,c60
b88,c42
b46,c93
b97,c35
b36,c38
b83,c45
b94,c65
b20,c91
b41,c61
b99,c50
b64,c10
b52,c54
b85,c76
b6,c73
b36,c74
b98,c89
b43,c6
b29,c64
b73,c36
b36,c2
b52,c69
b43,c49
b10,c52
b36,c9
b55,c88
b98,c0
b47,c99
b24,c38
b42,c99
b88,c49
b5,c18
b1,c16
b38,c64
b66,c31
b68,c60
b41,c84
b67,c11
b20,c20
b29,c75
b88,c91
b24,c93
b2,c74
b61,c76
b14,c71
b88,c34
b7,c83
b39,c78
b96,c55
b45,c40
b82,c37
b63,c86
b36,c59
b76,c29
b51,c15
b69,c27
b35,c72
b40,c63
b49,c55
b54,c64
b23,c17
b98,c87
b34,c16
b43,c14
b14,c96
b6,c74
b92,c42
b11,c4
b78,c77
b87,c89
b71,c93
b76,c84
b36,c39
b43,c7
b94,c25
b98,c67
b63,c39
b26,c77
b27,c19
b20,c30
b35,c39
b25,c61
b57,c66
b12,c7
b51,c83
b35,c84
b1,c30
b38,c80
b80,c60
b30,c95
b29,c59
b41,c93
b11,c19
b19,c4
b94,c73
b93,c80
b30,c85
b51,c23
b61,c39
b39,c51
b59,c83
b62,c12
b26,c87
b53,c64
b12,c92
b74,c76
b11,c48
b32,c28
b16,c66
b96,c8
b69,c19
b89,c85
b77,c76
b64,c30
b0,c36
b90,c23
b93,c85
b86,c24
b21,c97
b25,c41
b38,c73
b55,c79
b73,c72
b70,c99
b46,c96
b54,c90
b91,c79
b28,c63
b35,c96
b36,c96
b84,c16
b6,c13
b63,c58
b88,c35
b96,c95
b76,c93
b15,c51
b38,c54
b73,c25
b13,c47
b72,c76
b27,c27
b84,c99
b28,c14
b80,c70
b34,c96
b86,c32
b87,c8
b22,c72
b71,c99
b65,c71
b82,c85
b45,c30
b24,c95
b66,c21
b44,c43
b15,c10
b2,c26
b48,c66
b85,c65
b70,c70
b45,c10
b73,c28
b11,c64
b58,c79
b78,c44
b56,c21
b11,c31
b11,c3
b27,c35
b78,c59
b20,c67
b0,c31
b1,c52
b75,c41
b46,c1
b30,c44
b74,c42
b39,c80
b48,c69
b53,c95
b54,c9
b82,c94
b64,c72
b17,c18
b38,c75
b49,c5
b98,c74
b11,c95
b51,c26
b45,c85
b16,c36
b68,c14
b98,c31
b8,c79
b44,c79
b69,c12
b43,c51
b51,c43
b94,c92
b66,c85
b47,c91
b36,c10
b14,c53
b24,c91
b20,c8
b11,c41
b38,c33
b38,c36
b47,c24
b66,c33
b52,c81
b88,c62
b2,c12
b34,c59
b57,c65
b24,c99
b62,c51
b12,c37
b45,c92
b86,c35
b51,c57
b87,c0
b55,c0
b86,c21
b1,c5
b33,c15
b61,c90
b64,c15
b73,c73
b19,c51
b76,c64
b47,c72
b31,c11
b80,c50
b33,c60
b12,c42
b86,c92
b16,c40
b69,c31
b60,c79
b99,c90
b23,c94
b20,c35
b89,c74
b52,c10
b6,c16
b42,c64
b59,c81
b25,c22
b82,c83
b52,c6
b74,c44
b78,c72
b77,c64
b32,c32
b20,c26
b69,c45
b79,c39
b40,c23
b90,c18
b9,c42
b67,c86
b61,c97
b57,c4
b11,c93
b56,c4
b49,c19
b21,c61
b88,c67
b84,c71
b52,c92
b82,c54
b22,c65
b36,c50
b23,c78
b35,c51
b52,c68
b12,c51
b38,c74
b80,c0
b0,c49
b56,c42
b97,c97
b42,c9
b13,c80
b40,c81
b7,c19
b42,c43
b88,c68
b5,c43
b23,c89
b95,c24
b1,c60
b94,c97
b65,c72
b12,c27
b32,c61
b96,c4
b18,c70
b87,c38
b73,c54
b19,c23
b64,c73
b58,c93
b49,c9
b26,c80
b45,c26
b70,c94
b57,c51
b58,c63
b62,c47
b29,c6
b5,c5
b5,c1
b9,c62
b64,c49
b34,c42
b49,c15
b7,c29
b38,c87
b89,c71
b69,c74
b72,c15
b27,c17
b85,c63
b94,c85
b51,c65
b51,c14
b2,c96
b35,c89
b90,c1
b94,c88
b94,c81
b95,c65
b97,c32
b64,c11
b17,c1
b26,c97
b3,c88
b8,c25
b22,c52
b85,c15
b55,c48
b48,c1
b76,c30
b22,c87
b21,c34
b0,c29
b70,c48
b98,c64
b24,c10
b36,c3
b85,c53
b50,c79
b18,c46
b13,c23
b77,c71
b75,c6
b81,c68
b84,c36
b58,c83
b92,c6
b51,c71
b18,c89
b71,c65
b9,c3
b86,c5
b28,c0
b26,c22
b35,c65
b37,c55
b53,c21
b84,c62
b21,c44
b57,c16
b10,c43
b55,c34
b12,c72
b20,c17
b16,c19
b23,c10
b15,c1
b98,c44
b73,c70
b3,c97
b90,c8
b10,c68
b82,c48
b35,c34
b84,c86
b52,c78
b52,c31
b6,c46
b33,c44
b43,c82
b44,c28
b51,c48
b22,c43
b14,c44
b81,c51
b91,c85
b55,c15
b42,c5
b27,c42
b53,c74
b82,c23
b6,c30
b96,c60
b34,c26
b32,c66
b92,c73
b86,c61
b15,c18
b71,c25
b45,c88
b16,c91
b31,c0
b60,c89
b33,c54
b60,c85
b9,c69
b25,c21
b97,c2
b64,c26
b67,c27
b95,c75
b76,c82
b73,c16
b14,c33
b19,c11
b24,c46
b0,c69
b71,c80
b40,c4
b20,c46
b79,c92
b45,c75
b33,c63
b60,c20
b50,c87
b1,c74
b65,c35
b29,c45
b16,c47
b31,c22
b25,c74
b19,c8
b68,c75
b41,c56
b8,c33
b67,c40
b61,c18
b22,c35
b56,c32
b44,c78
b43,c23
b5,c49
b94,c0
b17,c3
b7,c42
b35,c70
b28,c80
b99,c61
b1,c19
b20,c80
b21,c51
b63,c68
b84,c55
b68,c25
b22,c51
b5,c95
b93,c23
b66,c83
b80,c74
b32,c35
b42,c91
b74,c34
b21,c91
b82,c24
b97,c56
b25,c38
b49,c66
b59,c55
b51,c16
b7,c33
b78,c94
b3,c3
b80,c84
b3,c36
b65,c15
b15,c49
b81,c63
b62,c29
b6,c65
b65,c40
b77,c5
b7,c34
b26,c96
b51,c59
b46,c52
b41,c32
b71,c30
b4,c72
b99,c60
b46,c35
b82,c34
b87,c37
b59,c16
b82,c18
b61,c60
b3,c43
b70,c33
b86,c65
b6,c0
b0,c60
b74,c97
b85,c3
b16,c53
b24,c53
b28,c45
b23,c51
b93,c27
b95,c38
b69,c23
b7,c84
b13,c74
b47,c63
b36,c29
b15,c82
b23,c36
b65,c90
b23,c26
b71,c58
b89,c47
b51,c1
b51,c68
b31,c25
b79,c7
b56,c90
b10,c1
b93,c12
b75,c9
b20,c6
b49,c57
b41,c53
b56,c74
b51,c75
b6,c56
b20,c89
b3,c63
b47,c2
b65,c16
b1,c85
b63,c95
b43,c35
b83,c9
b7,c62
b0,c23
b23,c1
b44,c3
b51,c41
b97,c99
b83,c67
b65,c41
b48,c9
b4,c52
b95,c10
b24,c1
b15,c74
b75,c79
b81,c28
b29,c1
b86,c0
b71,c76
b79,c42
b38,c70
b3,c98
b17,c89
b29,c12
b81,c24
b86,c96
b82,c39
b72,c41
b75,c63
b17,c42
b83,c1
b14,c12
b35,c62
b54,c54
b37,c1
b52,c40
b22,c75
b83,c23
b6,c78
b5,c22
b59,c70
b84,c64
b87,c61
b26,c78
b17,c14
b79,c52
b12,c25
b31,c32
b31,c7
b93,c73
b75,c73
b85,c45
b89,c42
b67,c36
b18,c14
b14,c91
b5,c16
b37,c16
b38,c84
b40,c16
b43,c1
b72,c86
b0,c85
b72,c58
b78,c62
b66,c90
b70,c91
b45,c43
b45,c21
b62,c50
b96,c99
b6,c7
b70,c47
b2,c92
b54,c33
b95,c63
b65,c9
b28,c75
b95,c89
b80,c28
b32,c21
b24,c54
b65,c46
b48,c94
b92,c85
b47,c45
b51,c52
b82,c66
b1,c46
b50,c56
b28,c52
b89,c73
b19,c29
b72,c74
b80,c8
b93,c70
b21,c4
b8,c97
b23,c82
b83,c97
b54,c40
b8,c74
b51,c46
b22,c68
b46,c32
b44,c1
b86,c29
b14,c37
b68,c66
b57,c23
b80,c36
b72,c45
b41,c22
b18,c64
b15,c80
b81,c76
b29,c78
b31,c35
b48,c23
b46,c0
b71,c95
b66,c52
b78,c84
b3,c11
b36,c65
b64,c62
b23,c9
b67,c56
b2,c90
b39,c75
b85,c34
b99,c15
b35,c79
b28,c65
b62,c77
b21,c89
b15,c48
b84,c22
b96,c62
b43,c30
b45,c28
b64,c88
b81,c71
b63,c81
b65,c73
b36,c97
b46,c62
b19,c28
b85,c81
b40,c45
b94,c22
b32,c82
b1,c87
b31,c79
b86,c42
b47,c67
b12,c61
b14,c8
b8,c0
b71,c33
b51,c61
b34,c75
b54,c84
b73,c41
b51,c55
b70,c64
b83,c12
b86,c28
b43,c99
b52,c22
b33,c34
b61,c7
b47,c79
b21,c33
b68,c74
b89,c41
b80,c71
b12,c91
b52,c21
b77,c74
b46,c56
b71,c10
b39,c38
b46,c84
b22,c28
b88,c69
b90,c94
b16,c89
b42,c17
b53,c15
b19,c95
b33,c0
b72,c5
b9,c41
b27,c66
b21,c66
b44,c67
b20,c74
b37,c19
b31,c42
b88,c13
b25,c47
b89,c16
b18,c25
b15,c37
b66,c75
b55,c11
b67,c63
b24,c45
b34,c29
b3,c79
b30,c86
b91,c25
b44,c24
b44,c22
b60,c4
b81,c72
b86,c75
b10,c32
b88,c84
b85,c33
b54,c87
b81,c99
b60,c48
b95,c31
b39,c61
b65,c36
b9,c49
b94,c35
b45,c13
b50,c3
b69,c36
b78,c34
b28,c49
b35,c77
b46,c13
b55,c2
b56,c43
b21,c82
b76,c91
b50,c86
b97,c45
b48,c41
b11,c62
b77,c22
b5,c32
b5,c94
b28,c37
b85,c82
b83,c91
b45,c97
b47,c4
b74,c62
b64,c27
b70,c8
b85,c7
b46,c61
b22,c17
b83,c55
b89,c33
b89,c61
b75,c97
b68,c3
b58,c92
b39,c54
b51,c40
b97,c12
b92,c82
b9,c64
b31,c97
b32,c17
b83,c18
b16,c65
b92,c41
b65,c14
b57,c75
b61,c0
b24,c81
b41,c5
b71,c9
b70,c93
b67,c22
b45,c3
b29,c90
b24,c77
b57,c98
b53,c10
b70,c98
b68,c87
b0,c55
b59,c56
b72,c78
b10,c86
b42,c88
b65,c47
b25,c91
b65,c55
b7,c85
b65,c0
b2,c4
b50,c41
