id,pattern,atoms,num_rows_dict,domain_size_dict,dist_type_dict,output_dir,seed
Uniform60,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 5000, 'S': 5000, 'T': 5000, 'U': 5000}","{'a': 71, 'b': 71, 'c': 71, 'd': 71, 'e': 71}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,41
Uniform61,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 5000, 'S': 5000, 'T': 5000, 'U': 5000}","{'a': 71, 'b': 71, 'c': 71, 'd': 71, 'e': 71}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,77
Uniform62,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10000, 'S': 10000, 'T': 10000, 'U': 10000}","{'a': 100, 'b': 100, 'c': 100, 'd': 100, 'e': 100}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,60
Uniform63,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10000, 'S': 10000, 'T': 10000, 'U': 10000}","{'a': 100, 'b': 100, 'c': 100, 'd': 100, 'e': 100}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,41
Uniform64,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10000, 'S': 10000, 'T': 10000, 'U': 10000}","{'a': 100, 'b': 100, 'c': 100, 'd': 100, 'e': 100}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,77
Uniform65,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 50000, 'S': 50000, 'T': 50000, 'U': 50000}","{'a': 224, 'b': 224, 'c': 224, 'd': 224, 'e': 224}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,60
Uniform66,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 50000, 'S': 50000, 'T': 50000, 'U': 50000}","{'a': 224, 'b': 224, 'c': 224, 'd': 224, 'e': 224}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,41
Uniform67,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 50000, 'S': 50000, 'T': 50000, 'U': 50000}","{'a': 224, 'b': 224, 'c': 224, 'd': 224, 'e': 224}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,77
Uniform68,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100000, 'S': 100000, 'T': 100000, 'U': 100000}","{'a': 317, 'b': 317, 'c': 317, 'd': 317, 'e': 317}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,60
Uniform69,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100000, 'S': 100000, 'T': 100000, 'U': 100000}","{'a': 317, 'b': 317, 'c': 317, 'd': 317, 'e': 317}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,41
Uniform70,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100000, 'S': 100000, 'T': 100000, 'U': 100000}","{'a': 317, 'b': 317, 'c': 317, 'd': 317, 'e': 317}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,77
Uniform71,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 500000, 'S': 500000, 'T': 500000, 'U': 500000}","{'a': 708, 'b': 708, 'c': 708, 'd': 708, 'e': 708}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,60
Uniform72,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 500000, 'S': 500000, 'T': 500000, 'U': 500000}","{'a': 708, 'b': 708, 'c': 708, 'd': 708, 'e': 708}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,41
Uniform73,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 500000, 'S': 500000, 'T': 500000, 'U': 500000}","{'a': 708, 'b': 708, 'c': 708, 'd': 708, 'e': 708}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,77
Uniform74,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000000, 'S': 1000000, 'T': 1000000, 'U': 1000000}","{'a': 1000, 'b': 1000, 'c': 1000, 'd': 1000, 'e': 1000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,60
Uniform75,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000000, 'S': 1000000, 'T': 1000000, 'U': 1000000}","{'a': 1000, 'b': 1000, 'c': 1000, 'd': 1000, 'e': 1000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,41
Uniform76,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000000, 'S': 1000000, 'T': 1000000, 'U': 1000000}","{'a': 1000, 'b': 1000, 'c': 1000, 'd': 1000, 'e': 1000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform_dense,77
