id,pattern,atoms,num_rows_dict,domain_size_dict,dist_type_dict,output_dir,seed
Uniform10,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 5000, 'S': 5000, 'T': 5000, 'U': 5000}","{'a': 5000, 'b': 5000, 'c': 5000, 'd': 5000, 'e': 5000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,53
Uniform11,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 5000, 'S': 5000, 'T': 5000, 'U': 5000}","{'a': 5000, 'b': 5000, 'c': 5000, 'd': 5000, 'e': 5000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,19
Uniform12,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10000, 'S': 10000, 'T': 10000, 'U': 10000}","{'a': 10000, 'b': 10000, 'c': 10000, 'd': 10000, 'e': 10000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,33
Uniform13,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10000, 'S': 10000, 'T': 10000, 'U': 10000}","{'a': 10000, 'b': 10000, 'c': 10000, 'd': 10000, 'e': 10000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,53
Uniform14,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 10000, 'S': 10000, 'T': 10000, 'U': 10000}","{'a': 10000, 'b': 10000, 'c': 10000, 'd': 10000, 'e': 10000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,19
Uniform15,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 50000, 'S': 50000, 'T': 50000, 'U': 50000}","{'a': 50000, 'b': 50000, 'c': 50000, 'd': 50000, 'e': 50000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,33
Uniform16,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 50000, 'S': 50000, 'T': 50000, 'U': 50000}","{'a': 50000, 'b': 50000, 'c': 50000, 'd': 50000, 'e': 50000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,53
Uniform17,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 50000, 'S': 50000, 'T': 50000, 'U': 50000}","{'a': 50000, 'b': 50000, 'c': 50000, 'd': 50000, 'e': 50000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,19
Uniform18,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100000, 'S': 100000, 'T': 100000, 'U': 100000}","{'a': 100000, 'b': 100000, 'c': 100000, 'd': 100000, 'e': 100000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,33
Uniform19,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100000, 'S': 100000, 'T': 100000, 'U': 100000}","{'a': 100000, 'b': 100000, 'c': 100000, 'd': 100000, 'e': 100000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,53
Uniform20,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 100000, 'S': 100000, 'T': 100000, 'U': 100000}","{'a': 100000, 'b': 100000, 'c': 100000, 'd': 100000, 'e': 100000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,19
Uniform21,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 500000, 'S': 500000, 'T': 500000, 'U': 500000}","{'a': 500000, 'b': 500000, 'c': 500000, 'd': 500000, 'e': 500000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,33
Uniform22,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 500000, 'S': 500000, 'T': 500000, 'U': 500000}","{'a': 500000, 'b': 500000, 'c': 500000, 'd': 500000, 'e': 500000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,53
Uniform23,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 500000, 'S': 500000, 'T': 500000, 'U': 500000}","{'a': 500000, 'b': 500000, 'c': 500000, 'd': 500000, 'e': 500000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,19
Uniform24,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000000, 'S': 1000000, 'T': 1000000, 'U': 1000000}","{'a': 1000000, 'b': 1000000, 'c': 1000000, 'd': 1000000, 'e': 1000000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,33
Uniform25,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000000, 'S': 1000000, 'T': 1000000, 'U': 1000000}","{'a': 1000000, 'b': 1000000, 'c': 1000000, 'd': 1000000, 'e': 1000000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,53
Uniform26,path4,"[('R', ('a', 'b')), ('S', ('b', 'c')), ('T', ('c', 'd')), ('U', ('d', 'e'))]","{'R': 1000000, 'S': 1000000, 'T': 1000000, 'U': 1000000}","{'a': 1000000, 'b': 1000000, 'c': 1000000, 'd': 1000000, 'e': 1000000}","{'a': ('uniform',), 'b': ('uniform',), 'c': ('uniform',), 'd': ('uniform',), 'e': ('uniform',)}",synthetic_data/full_path4_uniform,19
